Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	3.558	1.831	0.605	0.545259363464205	NA	0	7.3564	5.3056	5.3056	TRUE	NA
FBtr0005088	10274	3376	3547	10798	3490	3754	5317	5057	4997	5514	4793	4657	5055.71	5124	4988	0.972	-0.041	-0.348	0.727519107959062	0.933764044857127	0.0011	0.0272	0.01	0.01	TRUE	NA
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.407	0.493	0.24	0.81032641850905	NA	0	5.5262	2.0721	2.0721	TRUE	NA
FBtr0070000	6	3	4	6	3	3	3	4	6	3	4	4	4.02	4	4	0.846	-0.241	-0.22	0.826033236751805	NA	0	1.6453	0.6101	0.6101	TRUE	NA
FBtr0070002	11	1	1	7	1	0	6	1	1	4	1	0	2.26	3	2	0.535	-0.902	-0.525	0.599619390645114	NA	0	2.9115	1.3376	1.3376	TRUE	NA
FBtr0070003	56	14	13	62	30	35	29	21	18	32	41	43	30.76	23	39	1.667	0.737	1.513	0.13022870415943	0.482903020153312	0	0.2377	0.1337	0.1337	TRUE	NA
FBtr0070006	184	157	108	171	116	121	95	235	152	87	159	150	146.54	161	132	0.838	-0.255	-0.928	0.353461963520396	0.746370923447043	0.0261	0.0704	0.0473	0.0473	TRUE	NA
FBtr0070007	1120	352	402	1054	412	435	580	527	566	538	566	540	552.8	558	548	0.981	-0.028	-0.181	0.85606045735147	0.969066134566474	0	0.0377	0.0153	0.0153	TRUE	NA
FBtr0070008	379	130	151	434	174	211	196	195	213	222	239	262	220.98	201	241	1.192	0.254	1.273	0.203186659775407	0.603623039141349	0	0.0554	0.0238	0.0238	TRUE	NA
FBtr0070025	1807	1107	1136	1643	1149	1068	935	1658	1600	839	1578	1325	1322.56	1398	1247	0.893	-0.163	-1.113	0.2656735470879	0.674134316897978	0.0043	0.0308	0.0148	0.0148	TRUE	NA
FBtr0070026	673	271	304	681	350	382	348	406	428	348	481	474	414.13	394	434	1.091	0.125	0.751	0.452415165643294	0.818375401429154	0	0.0416	0.0175	0.0175	TRUE	NA
FBtr0070027	640	239	263	817	325	295	331	358	370	417	446	366	381.53	353	410	1.164	0.219	1.183	0.236727489357366	0.642481568828111	0.0056	0.043	0.0218	0.0218	TRUE	NA
FBtr0070028	124	27	40	226	22	26	64	40	56	115	30	32	56.47	53	59	0.945	-0.082	-0.177	0.859501656861843	0.970539593511385	0.1224	0.1413	0.1317	0.1317	TRUE	NA
FBtr0070029	4	3	2	3	1	2	2	4	3	2	1	2	2.46	3	2	0.601	-0.734	-0.526	0.598939865646012	NA	0	2.6731	0.9626	0.9626	TRUE	NA
FBtr0070032	8	5	2	8	6	6	4	7	3	4	8	7	5.7	5	6	1.302	0.381	0.387	0.69865244445922	NA	0	1.1684	0.5129	0.5129	TRUE	NA
FBtr0070034	1	1	0	2	1	1	1	1	0	1	1	1	0.94	1	1	1.859	0.894	0.398	0.690796521298034	NA	0	6.9441	2.4429	2.4429	TRUE	NA
FBtr0070035	0	1	0	4	0	1	0	1	0	2	0	1	0.8	0	1	2.855	1.514	0.47	0.638343051639161	NA	0	8.2023	6.1537	6.1537	TRUE	NA
FBtr0070036	2163	839	1079	2259	1056	1290	1119	1257	1520	1154	1450	1600	1350.03	1299	1401	1.075	0.104	0.67	0.502773579366515	0.845761221790422	0.0068	0.0307	0.0167	0.0167	TRUE	NA
FBtr0070038	3378	967	923	4638	980	927	1748	1448	1300	2368	1346	1150	1560.17	1499	1621	1.04	0.056	0.291	0.771037865925609	0.945977420056465	0.0262	0.0301	0.0263	0.0263	TRUE	NA
FBtr0070040	13	28	9	49	23	33	7	42	13	25	32	41	26.48	21	33	1.865	0.9	1.364	0.172526165624645	0.556642428456714	0.2667	0.2719	0.2695	0.2695	TRUE	NA
FBtr0070041	1669	296	385	1545	323	374	864	443	542	789	444	464	590.99	616	566	0.918	-0.124	-0.734	0.462712933576865	0.824279579879509	0.0036	0.0369	0.0183	0.0183	TRUE	NA
FBtr0070042	691	112	20	427	43	161	358	168	28	218	59	200	171.73	185	159	1.019	0.027	0.042	0.966891353325447	0.992070231509134	0.627	0.0639	0.2952	0.2952	TRUE	NA
FBtr0070043	76	16	25	38	23	15	39	24	35	19	32	19	28.02	33	23	0.692	-0.53	-1.018	0.308795969583869	0.712894362248234	0.0554	0.2584	0.1569	0.1569	TRUE	NA
FBtr0070044	667	284	382	1324	364	269	345	425	538	676	500	334	469.73	436	503	1.138	0.186	0.586	0.558018649455931	0.873066241039973	0.1045	0.0398	0.0702	0.0702	TRUE	NA
FBtr0070045	165	43	65	518	66	67	85	64	92	265	91	83	113.27	80	146	1.597	0.676	1.679	0.0931627480995176	0.401789901664692	0.1263	0.0834	0.1044	0.1044	TRUE	NA
FBtr0070046	458	111	119	681	94	110	237	166	168	348	129	136	197.37	190	204	0.993	-0.01	-0.037	0.970855865134475	0.993014029996195	0.04	0.0589	0.0489	0.0489	TRUE	NA
FBtr0070050	5	2	2	3	2	2	3	3	3	2	3	2	2.53	3	2	0.769	-0.38	-0.281	0.778435996611262	NA	0	2.6044	0.9036	0.9036	TRUE	NA
FBtr0070052	1465	348	551	1408	499	764	758	521	776	719	685	948	734.61	685	784	1.143	0.193	0.785	0.432403909200702	0.806925902707766	0.0497	0.0348	0.0423	0.0423	TRUE	NA
FBtr0070053	10	4	4	6	2	1	5	6	6	3	3	1	3.98	6	2	0.426	-1.23	-1.049	0.294298186484148	NA	0	1.6648	0.6807	0.6807	TRUE	NA
