Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4680	4083	697	184	220	7585	7010	5752	356	253	273	3538.06	6782	294	0.043	-4.534	-27.772	9.33456685598369e-170	1.65137822249207e-165	0.0097	0.0278	0.0173	0.0173	TRUE	NA
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.41	1366	88	0.063	-3.983	-19.513	8.51675985178695e-85	2.51116664229938e-81	0.0129	0.0349	0.0234	0.0234	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.21	1163	49	0.043	-4.55	-19.26	1.16517387719452e-82	2.57663638268104e-79	0.0132	0.0367	0.0295	0.0295	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.44	1224	53	0.042	-4.563	-19.052	6.36585561541064e-81	1.25131501880255e-77	0.0256	0.0361	0.0313	0.0313	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52483	70240	83930	9159	13775	15050	40772.89	68884	12661	0.183	-2.452	-17.317	3.47391281920695e-67	5.58699924405365e-64	0.0071	0.0261	0.0144	0.0144	TRUE	NA
FBtr0074337	2035	1505	1137	148	85	70	1053	2254	1602	76	117	87	864.7	1636	93	0.059	-4.09	-16.888	5.47154491199595e-64	8.06642508651003e-61	0.0402	0.0334	0.0367	0.0367	TRUE	NA
FBtr0077645	5327	1953	2038	666	157	166	2757	2925	2871	340	216	206	1552.44	2851	254	0.087	-3.515	-16.534	2.08099591520657e-61	2.62963562399425e-58	0.0304	0.0301	0.0302	0.0302	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3194	1836	1388	340	181	211	1191.63	2139	244	0.116	-3.107	-16.093	2.8385942546136e-58	3.34783806389128e-55	0.0179	0.0314	0.0241	0.0241	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.49	615	50	0.081	-3.623	-16.069	4.2052661492283e-58	4.64971021537487e-55	0.0076	0.0455	0.0255	0.0255	TRUE	NA
FBtr0075753	7338	2709	2390	1327	534	573	3798	4058	3367	678	733	711	2223.96	3741	707	0.189	-2.405	-15.962	2.34965993491193e-57	2.44516670050158e-54	0.0061	0.0288	0.0155	0.0155	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2085	1622	1466	404	264	249	1015.02	1724	306	0.176	-2.51	-15.922	4.46015856157028e-57	4.38359250626333e-54	0.0043	0.0323	0.0157	0.0157	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.66	447	26	0.058	-4.103	-15.019	5.53682442497274e-51	5.1553663632733e-48	0	0.0534	0.0339	0.0339	TRUE	NA
FBtr0302694	3011	1195	1189	564	253	314	1558	1790	1675	288	347	390	1008.01	1674	342	0.203	-2.303	-14.916	2.59193805229763e-50	2.29269880415987e-47	0.0032	0.0324	0.0154	0.0154	TRUE	NA
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.11	1028	164	0.157	-2.667	-14.907	2.97268324476937e-50	2.50427329920071e-47	0	0.0368	0.0195	0.0195	TRUE	NA
FBtr0310637	676	488	515	74	44	34	350	731	725	38	60	42	324.44	602	47	0.082	-3.608	-13.999	1.58841598968475e-44	1.12402669094052e-41	0.0251	0.046	0.0367	0.0367	TRUE	NA
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208	384	32	0.081	-3.627	-13.925	4.49378115980808e-44	3.05767240377557e-41	0	0.0572	0.0318	0.0318	TRUE	NA
