Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	4998	5271	31	34	85	4539	6864	6539	3015.26	50	5981	123.013	6.943	24.508	1.21689506692279e-132	1.07640453144655e-128	0.0937	0.0281	0.0468	0.0468	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.5	351	2919	8.337	3.06	21.834	1.10113863905416e-105	6.49341455450235e-102	0.0012	0.0299	0.0124	0.0124	TRUE	NA
FBtr0337020	105	24	35	2749	1052	969	54	36	49	1404	1445	1202	698.37	46	1350	28.728	4.844	21.383	1.93429977518571e-101	8.55492433070261e-98	0.0134	0.0352	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2445	2078	77	118	116	1333	3358	2578	1263.32	104	2423	22.185	4.472	20.331	6.86280200691317e-92	2.42819660608602e-88	0.0282	0.0311	0.0296	0.0296	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1066	274	153	144	2813	1574	1322	1046.52	190	1903	9.96	3.316	19.437	3.76868189489972e-84	9.52453591466727e-81	0.0063	0.0321	0.0172	0.0172	TRUE	NA
FBtr0301964	145	145	135	1290	1126	1369	75	217	190	659	1546	1698	730.97	161	1301	8.233	3.041	17.891	1.39241330166671e-71	2.46331837197857e-68	0.003	0.0348	0.0169	0.0169	TRUE	NA
FBtr0342810	333	94	91	4643	1451	1089	172	141	128	2371	1993	1351	1025.98	147	1905	12.896	3.689	16.773	3.8719326233369e-63	5.26910461841946e-60	0.029	0.0323	0.0305	0.0305	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.58	667	3442	5.176	2.372	14.312	1.84013888137878e-46	1.47972258865782e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.67	412	2825	6.896	2.786	14.264	3.68890570515008e-46	2.8374100360787e-43	0.0224	0.0299	0.0259	0.0259	TRUE	NA
FBtr0301487	818	500	372	4780	3392	3782	423	749	524	2441	4658	4692	2247.88	565	3930	6.771	2.759	14.057	6.95021069529389e-45	5.12317405876851e-42	0.0247	0.0288	0.0267	0.0267	TRUE	NA
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.37	110	828	7.571	2.92	13.737	6.09907468885474e-43	3.85352608287604e-40	0.0092	0.0398	0.027	0.027	TRUE	NA
FBtr0342814	677	213	248	2927	1632	1738	350	319	349	1495	2241	2156	1151.8	339	1964	5.665	2.502	12.717	4.76784412295676e-37	2.63587282435088e-34	0.0213	0.0316	0.026	0.026	TRUE	NA
FBtr0081619	132	39	60	945	388	516	68	58	85	483	533	640	311.13	70	552	7.752	2.954	12.459	1.25712835175463e-35	6.73935080936093e-33	0.0144	0.0469	0.032	0.032	TRUE	NA
FBtr0347567	196	93	160	3728	1160	1341	101	139	225	1904	1593	1664	937.75	155	1720	11.46	3.518	11.947	6.72533361371481e-33	3.2156182962224e-30	0.0908	0.0329	0.0586	0.0586	TRUE	NA
FBtr0076772	948	252	301	3104	1006	1183	491	377	424	1585	1382	1468	954.38	431	1478	3.436	1.781	11.842	2.37844054672555e-32	1.10728925558215e-29	0.0014	0.0327	0.0146	0.0146	TRUE	NA
FBtr0077644	1140	650	596	3773	1967	2209	590	974	840	1927	2701	2741	1628.59	801	2456	3.089	1.627	11.456	2.19963129331342e-30	9.72841930250194e-28	0.0025	0.0299	0.0137	0.0137	TRUE	NA
FBtr0472696	181	98	77	1067	587	912	94	147	108	545	806	1131	471.89	116	827	6.923	2.791	11.318	1.06540964374871e-29	4.38329349012985e-27	0.0375	0.0397	0.0387	0.0387	TRUE	NA
FBtr0332202	609	176	176	3058	696	748	315	264	248	1562	956	928	712.01	276	1149	4.096	2.034	11.315	1.10012038758891e-29	4.42323404018988e-27	0.0098	0.0351	0.0206	0.0206	TRUE	NA
FBtr0080263	221	50	45	1679	1225	1528	114	75	63	857	1682	1896	781.32	84	1478	16.908	4.08	11.179	5.14676254057935e-29	2.02336391345309e-26	0.1638	0.0343	0.0892	0.0892	TRUE	NA
FBtr0085155	990	343	433	2901	1315	1530	512	514	610	1481	1806	1898	1136.91	545	1728	3.15	1.655	10.615	2.53209050164206e-26	8.783375110696e-24	0.0047	0.0316	0.0162	0.0162	TRUE	NA
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	424	495	268.61	46	491	10.757	3.427	10.459	1.3290074628746e-25	4.43612660862537e-23	0.0879	0.0502	0.0642	0.0642	TRUE	NA
FBtr0081614	153	41	33	875	333	479	79	61	46	447	457	594	280.91	62	499	7.957	2.992	10.397	2.56493407355928e-25	8.40300901765505e-23	0.0504	0.0491	0.0497	0.0497	TRUE	NA
FBtr0089581	538	391	334	4771	1933	1811	278	586	471	2436	2655	2247	1445.36	445	2446	5.737	2.52	10.225	1.53643671848025e-24	4.85376821189894e-22	0.0547	0.0304	0.0423	0.0423	TRUE	NA
FBtr0072635	123	48	34	665	381	334	64	72	48	340	523	414	243.43	61	426	6.804	2.766	9.954	2.42916380930747e-23	7.28378592380653e-21	0.0375	0.0527	0.0457	0.0457	TRUE	NA
FBtr0346714	149	13	13	1173	453	511	77	19	18	599	622	634	328.32	38	618	19.163	4.26	9.887	4.73701210880433e-23	1.35165292285254e-20	0.2212	0.0458	0.1143	0.1143	TRUE	NA
FBtr0302291	7097	2315	2578	17634	7581	7047	3673	3467	3632	9005	10411	8743	6488.34	3591	9386	2.613	1.385	9.78	1.37584844182144e-22	3.80314606004112e-20	0.0076	0.0269	0.0142	0.0142	TRUE	NA
FBtr0077247	887	203	220	2401	619	756	459	304	310	1226	850	938	681.17	358	1005	2.822	1.497	9.631	5.92656618883394e-22	1.54186591833325e-19	0.0018	0.0355	0.0152	0.0152	TRUE	NA
FBtr0301884	751	510	442	2290	1357	1599	389	764	623	1169	1864	1984	1131.97	592	1672	2.853	1.512	9.532	1.54226393128826e-21	3.84284383217192e-19	0.0058	0.0317	0.0169	0.0169	TRUE	NA
FBtr0076454	1477	468	652	4493	1668	2060	764	701	918	2294	2291	2556	1587.41	794	2380	2.995	1.583	9.304	1.35708026280167e-20	3.20108092389657e-18	0.0127	0.03	0.0199	0.0199	TRUE	NA
FBtr0071849	196	91	123	839	390	442	101	136	173	428	536	548	320.56	137	504	3.74	1.903	9.298	1.4353768765853e-20	3.34121741100927e-18	0.005	0.0462	0.0252	0.0252	TRUE	NA
FBtr0301143	300	145	190	1244	536	686	155	217	268	635	736	851	477.08	213	741	3.536	1.822	9.214	3.14081642832685e-20	7.123613260709e-18	0.0123	0.0396	0.025	0.025	TRUE	NA
FBtr0344560	129	81	99	452	394	534	67	121	139	231	541	662	293.65	109	478	4.18	2.063	9.109	8.32280233703809e-20	1.86378096385495e-17	0.0161	0.0481	0.031	0.031	TRUE	NA
FBtr0075699	733	89	205	3655	1245	1463	379	133	289	1866	1710	1815	1032.1	267	1797	6.967	2.801	8.968	3.00689675971565e-19	6.33273935430114e-17	0.1156	0.0322	0.0676	0.0676	TRUE	NA
