Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4680	4083	697	184	220	7585	7010	5752	356	253	273	3538.06	6782	294	0.044	-4.522	-18.757	1.70039738201916e-78	1.68126791147144e-74	0.0242	0.0899	0.0401	0.0401	TRUE	0.3112
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.44	1224	53	0.043	-4.556	-17.341	2.31222544502128e-67	1.52414193917653e-63	0.0132	0.0958	0.0398	0.0398	TRUE	0.4587
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.21	1163	49	0.043	-4.537	-16.345	4.73176489395582e-60	2.33926626944941e-56	0.0142	0.0962	0.0451	0.0451	TRUE	0.5271
FBtr0075753	7338	2709	2390	1327	534	573	3798	4058	3367	678	733	711	2223.96	3741	707	0.189	-2.404	-14.574	4.08812307910116e-48	1.34737723148709e-44	0.005	0.0907	0.0187	0.0187	TRUE	0.0921
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.66	447	26	0.057	-4.124	-13.797	2.64100602120148e-43	7.46084200989417e-40	0.0104	0.1079	0.0443	0.0443	TRUE	0.4252
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.49	615	50	0.082	-3.612	-13.583	5.02743252815507e-42	1.24271847805333e-38	0.0206	0.1024	0.0402	0.0402	TRUE	0.1115
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208	384	32	0.08	-3.635	-13.505	1.46047839877873e-41	3.20899559287215e-38	0	0.1106	0.0351	0.0351	TRUE	0.2864
FBtr0077645	5327	1953	2038	666	157	166	2757	2925	2871	340	216	206	1552.44	2851	254	0.09	-3.48	-12.817	1.32195116523555e-37	2.6141584292533e-34	0.0364	0.0916	0.0509	0.0509	TRUE	1.0559
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.62	836	81	0.095	-3.392	-12.681	7.54912819535568e-37	1.35712736421053e-33	0.0218	0.0986	0.0446	0.0446	TRUE	0.5395
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.11	1028	164	0.158	-2.661	-12.507	6.84026402960586e-36	9.66187294181828e-33	0.0097	0.0963	0.029	0.029	TRUE	0.2834
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.41	1366	88	0.065	-3.948	-12.342	5.40570206813896e-35	7.12651722649653e-32	0.0593	0.0949	0.0676	0.0676	TRUE	0.5873
FBtr0290019	6546	2254	2494	1907	616	815	3388	3376	3513	974	846	1011	2184.65	3426	944	0.276	-1.859	-11.789	4.44195316947585e-32	4.62313810138868e-29	0.0026	0.0907	0.0172	0.0172	TRUE	0.0944
FBtr0334282	323	123	139	24	5	10	167	184	196	12	7	12	96.45	182	10	0.06	-4.058	-11.306	1.23092771142514e-29	1.15912359492534e-26	0	0.136	0.0471	0.0471	TRUE	0.1914
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.36	274	33	0.117	-3.095	-11.28	1.64202192703949e-29	1.47595380032754e-26	0	0.1184	0.0371	0.0371	TRUE	0.399
