Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0337020	105	24	35	2749	1052	969	54	36	49	1404	1445	1202	698.37	46	1350	28.395	4.828	18.937	5.66530366148382e-80	1.12031379905843e-75	0.0104	0.0952	0.0353	0.0353	TRUE	0.2442
FBtr0112994	60	23	60	8888	4998	5271	31	34	85	4539	6864	6539	3015.26	50	5981	121.352	6.923	15.665	2.62612036506542e-55	1.03863060438337e-51	0.1542	0.0902	0.1294	0.1294	TRUE	2.5919
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.37	110	828	7.571	2.92	12.628	1.47517910928109e-36	2.4309722405028e-33	0.0037	0.0984	0.0329	0.0329	TRUE	0.4009
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.5	351	2919	8.336	3.059	12.573	2.98320665927667e-36	4.53791628363048e-33	0.0231	0.0914	0.0409	0.0409	TRUE	0.3487
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.58	667	3442	5.147	2.364	12.33	6.24121628159605e-35	7.71375324803512e-32	0.0104	0.0909	0.0255	0.0255	TRUE	0.2553
FBtr0342810	333	94	91	4643	1451	1089	172	141	128	2371	1993	1351	1025.98	147	1905	12.888	3.688	12.117	8.60856718491603e-34	1.00137891812773e-30	0.0515	0.0931	0.0627	0.0627	TRUE	0.1143
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.67	412	2825	6.829	2.772	12	3.55301657162443e-33	3.90338348354851e-30	0.0214	0.0915	0.0369	0.0369	TRUE	0.4116
FBtr0081619	132	39	60	945	388	516	68	58	85	483	533	640	311.13	70	552	7.838	2.97	11.401	4.14658452078241e-30	4.09993544492361e-27	0.0172	0.1033	0.0402	0.0402	TRUE	0.1873
FBtr0342806	149	79	82	2611	2445	2078	77	118	116	1333	3358	2578	1263.32	104	2423	23.512	4.555	11.028	2.79603874107616e-28	2.12660254249158e-25	0.1293	0.0923	0.1173	0.1173	TRUE	0.0979
FBtr0342814	677	213	248	2927	1632	1738	350	319	349	1495	2241	2156	1151.8	339	1964	5.775	2.53	10.396	2.59736673042631e-25	1.71209756980601e-22	0.0258	0.0926	0.0408	0.0408	TRUE	0.5362
FBtr0347567	196	93	160	3728	1160	1341	101	139	225	1904	1593	1664	937.75	155	1720	11.156	3.48	10.069	7.60530697925812e-24	4.55742259135847e-21	0.0828	0.0935	0.0821	0.0821	TRUE	1.5618
FBtr0080263	221	50	45	1679	1225	1528	114	75	63	857	1682	1896	781.32	84	1478	17.366	4.118	9.965	2.1783278806931e-23	1.26695393649135e-20	0.1268	0.0945	0.1161	0.1161	TRUE	0.4396
FBtr0081614	153	41	33	875	333	479	79	61	46	447	457	594	280.91	62	499	7.859	2.974	9.816	9.57728063080744e-23	5.4111635564062e-20	0.0345	0.1049	0.0565	0.0565	TRUE	0.6269
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	424	495	268.61	46	491	10.734	3.424	9.787	1.27804276997356e-22	7.02035993784085e-20	0.0563	0.1056	0.0752	0.0752	TRUE	0.6846
FBtr0078841	28	10	12	309	92	104	14	15	17	158	126	129	76.59	15	138	9.063	3.18	9.268	1.89246534155083e-20	9.35587553229193e-18	0	0.1483	0.0479	0.0479	TRUE	0.1932
FBtr0072635	123	48	34	665	381	334	64	72	48	340	523	414	243.43	61	426	6.932	2.793	9.242	2.42770298397025e-20	1.17092259775638e-17	0.0353	0.1074	0.0557	0.0557	TRUE	0.1025
FBtr0076772	948	252	301	3104	1006	1183	491	377	424	1585	1382	1468	954.38	431	1478	3.421	1.774	9.113	7.98119499901738e-20	3.67042165361788e-17	0.0089	0.0934	0.0257	0.0257	TRUE	0.1837
FBtr0302291	7097	2315	2578	17634	7581	7047	3673	3467	3632	9005	10411	8743	6488.34	3591	9386	2.613	1.386	8.825	1.09690754674563e-18	4.82029927486552e-16	0.0047	0.0893	0.0176	0.0176	TRUE	0.1111
FBtr0077831	71	19	27	331	152	154	37	28	38	169	209	191	112.01	34	190	5.43	2.441	8.692	3.56067711883087e-18	1.49813595797618e-15	0	0.1294	0.039	0.039	TRUE	0.1061
FBtr0113386	19	6	5	229	84	69	10	9	7	117	115	86	57.29	9	106	11.97	3.581	8.543	1.30946205188331e-17	5.28461470938622e-15	0	0.1684	0.0654	0.0654	TRUE	0.2601
FBtr0342607	29	16	15	265	92	116	15	24	21	135	126	144	77.61	20	135	7.061	2.82	8.376	5.49872525434025e-17	2.09110176739574e-14	0	0.1475	0.0509	0.0509	TRUE	0.5148
FBtr0076454	1477	468	652	4493	1668	2060	764	701	918	2294	2291	2556	1587.41	794	2380	2.996	1.583	8.269	1.35605539581105e-16	4.875635536757e-14	0.0107	0.0915	0.0255	0.0255	TRUE	0.2138
FBtr0085155	990	343	433	2901	1315	1530	512	514	610	1481	1806	1898	1136.91	545	1728	3.17	1.665	8.197	2.47034444790866e-16	8.42259680299891e-14	0.0127	0.0927	0.0284	0.0284	TRUE	0.1925
FBtr0290078	189	54	80	678	282	381	98	81	113	346	387	473	249.59	97	402	4.126	2.045	7.897	2.8474653255082e-15	8.28068041351832e-13	0.0189	0.1069	0.0414	0.0414	TRUE	0.2136
FBtr0340240	529	102	102	5508	1146	1066	274	153	144	2813	1574	1322	1046.52	190	1903	9.962	3.316	7.834	4.70862964645666e-15	1.33018787512401e-12	0.1423	0.093	0.1259	0.1259	TRUE	0.7337
FBtr0472696	181	98	77	1067	587	912	94	147	108	545	806	1131	471.89	116	827	7.147	2.837	7.716	1.19646792127303e-14	3.33241593565834e-12	0.0892	0.0983	0.092	0.092	TRUE	0.0812
FBtr0113323	49	26	34	392	172	165	25	39	48	200	236	205	125.55	37	214	5.893	2.559	7.706	1.29455308192206e-14	3.55552599930678e-12	0.0308	0.125	0.0622	0.0622	TRUE	0.9236
FBtr0075928	107	44	42	448	152	225	55	66	59	229	209	279	149.51	60	239	4.003	2.001	7.702	1.33620829597404e-14	3.61966014423105e-12	0	0.1192	0.0375	0.0375	TRUE	0.2276
FBtr0342805	114	61	61	723	240	243	59	91	86	369	330	301	206.09	79	333	4.316	2.11	7.588	3.24016956893556e-14	7.81394551532935e-12	0.0234	0.1108	0.0471	0.0471	TRUE	0.5964
FBtr0089581	538	391	334	4771	1933	1811	278	586	471	2436	2655	2247	1445.36	445	2446	5.517	2.464	7.543	4.57631365948353e-14	1.09032051344924e-11	0.0623	0.0918	0.0754	0.0754	TRUE	1.3065
FBtr0301487	818	500	372	4780	3392	3782	423	749	524	2441	4658	4692	2247.88	565	3930	6.96	2.799	7.486	7.10467897546505e-14	1.61488536482553e-11	0.0958	0.0907	0.0996	0.0996	TRUE	1.3445
FBtr0332963	149	58	53	556	175	195	77	87	75	284	240	242	167.47	80	255	3.234	1.693	7.38	1.58304018040291e-13	3.40267603994212e-11	0	0.1159	0.0291	0.0291	TRUE	0.1177
FBtr0087090	52	12	23	338	106	98	27	18	32	173	146	122	86.17	26	147	5.669	2.503	7.238	4.56384569791024e-13	9.20918864042602e-11	0.0238	0.1416	0.0623	0.0623	TRUE	0.1308
FBtr0077236	353	100	83	1070	360	407	183	150	117	546	494	505	332.51	150	515	3.41	1.77	7.114	1.12448770159389e-12	2.24613578777972e-10	0.0191	0.1024	0.0399	0.0399	TRUE	0.4474
FBtr0333073	435	138	126	1256	447	416	225	207	177	641	614	516	396.77	203	590	2.897	1.534	7.107	1.18986464552361e-12	2.35295733652294e-10	0.0107	0.1002	0.03	0.03	TRUE	0.1402
FBtr0346714	149	13	13	1173	453	511	77	19	18	599	622	634	328.32	38	618	15.621	3.965	6.988	2.79289079442333e-12	5.41464857448249e-10	0.2989	0.1026	0.2171	0.2171	TRUE	7.244
FBtr0075699	733	89	205	3655	1245	1463	379	133	289	1866	1710	1815	1032.1	267	1797	6.697	2.744	6.872	6.34168080153529e-12	1.18308243255057e-09	0.1223	0.0931	0.1125	0.1125	TRUE	2.0363
FBtr0073359	3934	1398	1290	8536	3640	3343	2036	2094	1817	4359	4999	4147	3242.01	1982	4502	2.27	1.183	6.864	6.67355972126919e-12	1.23336115409438e-09	0.007	0.0901	0.021	0.021	TRUE	0.113
FBtr0302034	146	69	58	1395	288	294	76	103	82	712	396	365	288.87	87	491	5.695	2.51	6.851	7.31247520074836e-12	1.33892775087777e-09	0.0808	0.1045	0.0892	0.0892	TRUE	1.8729
FBtr0072102	112	51	42	384	181	215	58	76	59	196	249	267	150.82	64	237	3.697	1.886	6.843	7.76239256637092e-12	1.39953526256957e-09	0.0187	0.1189	0.0441	0.0441	TRUE	0.2817
FBtr0332478	60	17	28	289	275	213	31	25	39	148	378	264	147.57	32	263	8.203	3.036	6.804	1.01993862801763e-11	1.80082914009362e-09	0.1266	0.1196	0.1243	0.1243	TRUE	0.0616
FBtr0332202	609	176	176	3058	696	748	315	264	248	1562	956	928	712.01	276	1149	4.163	2.058	6.787	1.14311498512051e-11	1.98290340620686e-09	0.0534	0.0951	0.0637	0.0637	TRUE	1.2053
FBtr0087089	42	14	14	275	63	92	22	21	20	140	87	114	67.25	21	114	5.475	2.453	6.724	1.76540353447164e-11	3.03572651253710e-09	0	0.1566	0.0663	0.0663	TRUE	0.0716
FBtr0085987	11	3	4	97	47	43	6	4	6	50	65	53	30.54	5	56	10.299	3.364	6.706	1.9936512039498e-11	3.3986597032851e-09	0	0.2382	0.0806	0.0806	TRUE	0.1376
FBtr0302833	567	210	177	1275	557	591	293	315	249	651	765	733	501.08	286	716	2.502	1.323	6.704	2.03284860272151e-11	3.435861634087e-09	0.0065	0.0978	0.0254	0.0254	TRUE	0.1279
FBtr0301850	170	60	36	1089	263	263	88	90	51	556	361	326	245.35	76	414	5.424	2.439	6.686	2.29075220379282e-11	3.83895125677992e-09	0.075	0.1073	0.0874	0.0874	TRUE	1.0714
FBtr0071004	32	11	14	166	60	92	17	16	20	85	82	114	55.68	18	94	5.363	2.423	6.676	2.4577288875814e-11	4.08416712201027e-09	0	0.1707	0.0598	0.0598	TRUE	0.3217
FBtr0332847	18	3	9	150	43	63	9	4	13	77	59	78	40.05	9	71	7.976	2.996	6.606	3.93735945268426e-11	6.38207239154354e-09	0.0046	0.2027	0.0843	0.0843	TRUE	0.2901
FBtr0076668	41	30	24	305	121	161	21	45	34	156	166	200	103.6	33	174	5.398	2.433	6.589	4.42547002070328e-11	7.11493249263474e-09	0.0506	0.1327	0.0784	0.0784	TRUE	1.1153
FBtr0342813	191	137	117	1371	486	532	99	205	165	700	667	660	416.06	156	676	4.369	2.127	6.571	4.99088203014052e-11	7.95924936661522e-09	0.0593	0.0996	0.0711	0.0711	TRUE	1.253
FBtr0303709	27	6	10	148	77	56	14	9	14	76	106	69	47.97	12	84	6.576	2.717	6.513	7.36081508065751e-11	1.14614266314962e-08	0	0.1838	0.0784	0.0784	TRUE	0.4451
FBtr0071849	196	91	123	839	390	442	101	136	173	428	536	548	320.56	137	504	3.709	1.891	6.496	8.26791754811278e-11	1.27732866807758e-08	0.0385	0.1029	0.0559	0.0559	TRUE	0.6332
FBtr0305679	536	170	220	1168	487	521	277	255	310	596	669	646	458.92	281	637	2.268	1.181	6.437	1.21639047527514e-10	1.83619249225693e-08	0.0027	0.0986	0.0215	0.0215	TRUE	0.0839
FBtr0346711	1061	386	337	2614	835	934	549	578	475	1335	1147	1159	873.7	534	1214	2.273	1.185	6.403	1.52713579162119e-10	2.23697113180067e-08	0.0067	0.0939	0.0232	0.0232	TRUE	0.1047
FBtr0088506	1527	499	609	3057	1309	1541	790	747	858	1561	1798	1912	1277.67	798	1757	2.199	1.137	6.374	1.84100509585827e-10	2.65736319493411e-08	0.0071	0.0922	0.0219	0.0219	TRUE	0.1174
FBtr0302579	130	59	46	556	195	163	67	88	65	284	268	202	162.4	73	251	3.452	1.787	6.366	1.94078364429231e-10	2.7810867076725e-08	0.0219	0.1168	0.0473	0.0473	TRUE	0.3143
FBtr0079199	77	43	27	331	156	144	40	64	38	169	214	179	117.37	47	187	4.002	2.001	6.302	2.93301001028233e-10	4.11349453569738e-08	0.0241	0.1276	0.0582	0.0582	TRUE	0.6155
FBtr0080892	451	135	163	913	374	393	233	202	230	466	514	488	355.44	222	489	2.196	1.135	6.264	3.74463900846846e-10	5.14237752725444e-08	0	0.1015	0.0201	0.0201	TRUE	0.0584
FBtr0306087	263	43	48	827	322	372	136	64	68	422	442	462	265.69	89	442	4.855	2.279	6.244	4.25742552389458e-10	5.80624756793209e-08	0.0805	0.1058	0.0887	0.0887	TRUE	2.3149
FBtr0077920	866	342	401	2084	814	893	448	512	565	1064	1118	1108	802.54	508	1097	2.163	1.113	6.233	4.56721351667164e-10	6.14398961171304e-08	0.0054	0.0943	0.0214	0.0214	TRUE	0.1364
FBtr0080592	48	19	35	264	133	149	25	28	49	135	183	185	100.82	34	168	4.988	2.318	6.184	6.24716643781207e-10	8.23584775384891e-08	0.0552	0.1339	0.082	0.082	TRUE	0.8767
FBtr0301143	300	145	190	1244	536	686	155	217	268	635	736	851	477.08	213	741	3.491	1.804	6.176	6.58427970023318e-10	8.62279013722591e-08	0.0435	0.0982	0.0581	0.0581	TRUE	0.323
FBtr0114544	357	128	90	1029	332	504	185	192	127	525	456	625	351.65	168	535	3.183	1.671	6.15	7.72855811528698e-10	1.00547524164342e-07	0.0293	0.1016	0.0489	0.0489	TRUE	0.2514
FBtr0332911	76	31	53	362	179	182	39	46	75	185	246	226	136.15	53	219	4.15	2.053	5.997	2.00535809042864e-09	2.50987064798901e-07	0.0481	0.1222	0.0716	0.0716	TRUE	0.8764
FBtr0076453	609	183	208	1523	430	594	315	274	293	778	591	737	497.9	294	702	2.384	1.253	5.972	2.33949776395956e-09	2.89147301764377e-07	0.0116	0.0978	0.0291	0.0291	TRUE	0.2212
FBtr0301492	66	28	31	224	112	115	34	42	44	114	154	143	88.44	40	137	3.466	1.793	5.97	2.37077207009419e-09	2.91192656435482e-07	0	0.1403	0.0477	0.0477	TRUE	0.2522
FBtr0086555	54	14	19	191	67	71	28	21	27	98	92	88	58.88	25	93	3.613	1.853	5.915	3.31431969633246e-09	4.02090012239107e-07	0	0.1662	0.045	0.045	TRUE	0.0903
FBtr0083467	175	65	67	563	154	205	91	97	94	287	211	254	172.6	94	251	2.688	1.427	5.906	3.51188683287581e-09	4.23460744634873e-07	0.011	0.1151	0.0342	0.0342	TRUE	0.1217
FBtr0076885	666	223	237	1222	467	506	345	334	334	624	641	628	484.27	338	631	1.867	0.901	5.875	4.2218852434494e-09	4.99926830474322e-07	0	0.0981	0.0145	0.0145	TRUE	0.0045
FBtr0110925	63	26	37	851	125	165	33	39	52	435	172	205	155.76	41	271	6.646	2.733	5.859	4.65510388309573e-09	5.47944519572726e-07	0.1485	0.118	0.1412	0.1412	TRUE	1.5948
FBtr0082017	24	11	11	190	43	60	12	16	15	97	59	74	45.82	14	77	5.382	2.428	5.836	5.3578015596852e-09	6.2323838731044e-07	0	0.1883	0.082	0.082	TRUE	0.1263
FBtr0087820	37	11	19	165	63	62	19	16	27	84	87	77	51.68	21	83	4.014	2.005	5.823	5.78509320209102e-09	6.65117546926453e-07	0	0.177	0.054	0.054	TRUE	0.2315
FBtr0299564	168	72	72	441	194	235	87	108	101	225	266	292	179.89	99	261	2.658	1.411	5.798	6.71574936686973e-09	7.58879678456279e-07	0.0121	0.114	0.0351	0.0351	TRUE	0.1794
