Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.424	0	0
FBgn0283429	369	198.531	3.80235	6.30755
FBgn0267873	257	86.62	0	0
FBgn0267896	719	548.15	0	0
FBgn0260225	1197	1026.07	0.116639	1
FBgn0262849	1188	1017.07	2.78149	23.6378
FBgn0040928	1085	914.07	2.74954	21
FBgn0262789	532	361.258	0	0
FBgn0058461	391	220.47	1.2012	2.21281
FBgn0042701	620	449.258	1.70752	6.40974
FBgn0263493	352	181.55	0	0
FBgn0265917	359	188.531	0	0
FBgn0262163	610	439.258	0	0
FBgn0085831	237	66.6274	0	0
FBgn0267108	321	150.55	5.19423	6.53403
FBgn0051032	770	599.15	8.78895	44
FBgn0266102	391	220.47	0	0
FBgn0053867	526	355.258	0.000329188	0.000977163
FBgn0267026	323	152.55	0	0
FBgn0267519	2689	2518.07	2120.24	44609.9
FBgn0058005	1227	1056.07	0.386687	3.41218
FBgn0039979	803	632.15	7.03074	37.1365
FBgn0053318	523	352.258	0.679501	2
FBgn0053805	440	269.424	0	0
FBgn0267419	780	609.15	0	0
FBgn0267892	760	589.15	0	0
FBgn0267902	582	411.258	0	0
FBgn0267867	274	103.591	1.40115	1.21279
FBgn0262964	777	606.15	0.197442	1
FBgn0085790	1041	870.07	0	0
FBgn0267879	601	430.258	0	0
FBgn0267886	266	95.6109	0	0
FBgn0085291	1130	959.07	0	0
FBgn0263093	1182	1011.07	18.5443	156.664
FBgn0267885	690	519.258	0	0
FBgn0030117	636	465.258	0	0
FBgn0058182	291	120.591	1.03808	1.04599
FBgn0052518	75	18.371	0	0
FBgn0027934	1345	1174.07	0	0
FBgn0085340	423	252.424	0	0
FBgn0263744	845	674.15	0.177527	1
FBgn0263207	354	183.55	0.834366	1.27965
FBgn0263210	221	50.6753	4.56206	1.93169
FBgn0267427	697	526.258	0	0
FBgn0263975	1131	960.07	2.49314	20
FBgn0267869	420	249.424	0	0
FBgn0037560	620.423	511.191	48.6341	325
FBgn0263212	220	49.6753	0	0
FBgn0085732	615.02	543.164	54.0564	583.591
FBgn0267593	610	439.258	0	0
FBgn0058100	394	223.448	4.4047	8.22381
FBgn0264888	465	294.424	0.406487	1
FBgn0037143	1446	1275.07	0	0
FBgn0262510	501	330.361	2.73627	7.55315
FBgn0263771	276	105.591	0	0
FBgn0053315	421	250.424	0	0
FBgn0267051	629	458.258	0	0
FBgn0050029	480	309.353	0	0
FBgn0085791	1041	870.07	0	0
FBgn0085804	252	81.62	0	0
FBgn0267876	766	595.15	0	0
FBgn0267494	656	485.258	0	0
FBgn0085792	1211	1040.07	2.15733	18.7481
FBgn0053013	2636	2465.07	0	0
FBgn0266211	1668	1497.07	0.959311	12
FBgn0267884	453	282.424	0	0
FBgn0265141	1303	1132.07	0	0
FBgn0051292	452	281.424	0.381533	0.897168
FBgn0053294	1200.93	1096.59	2.33156	35
FBgn0000280	166	11.8547	0	0
FBgn0262885	102	33.7228	0	0
FBgn0262852	1188	1017.07	2.78149	23.6378
FBgn0011812	456	285.424	0	0
FBgn0265533	384.5	213.987	0	0
FBgn0052496	778	607.15	2.16829	11
FBgn0052009	2999	2828.07	0	0
FBgn0262688	493	322.393	0.371223	1
FBgn0053222	541	370.258	2.14624	6.6399
FBgn0266940	581	410.258	0	0
FBgn0051615	315	144.565	0	0
FBgn0262565	802	631.15	0	0
FBgn0263002	361	190.531	0	0
FBgn0053498	369	198.531	0	0
FBgn0084049	531	360.258	14.8183	44.6057
FBgn0263211	352	181.55	1.70663	2.5889
FBgn0267872	775	604.15	0	0
FBgn0262031	330	159.55	30.0727	40.0911
FBgn0267014	274	103.591	4.6765	4.04784
FBgn0039987	184	20.1445	0	0
FBgn0261640	810	639.15	0	0
FBgn0052761	71	17.8235	0	0
FBgn0267863	274	103.591	0	0
FBgn0052034	74	18.569	0	0
FBgn0262795	735	564.15	0	0
FBgn0261856	450	279.424	0.428308	1
FBgn0051485	73	17.8772	0	0
FBgn0267610	864	693.15	0	0
FBgn0262851	1188	1017.07	0.0100037	0.0850145
FBgn0053416	143	38.6816	0	0
FBgn0267520	357	186.531	2.98409	4.65097
FBgn0267054	629	458.258	0	0
FBgn0085765	30	31	0	0
FBgn0267424	659	488.258	0	0
FBgn0030116	1305	1134.07	0	0
FBgn0031135	363	192.531	0	0
FBgn0263213	224	53.6443	0	0
FBgn0267878	266	95.6109	0	0
FBgn0058441	177	16.3632	0	0
