Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.74	0	0
FBgn0267873	257	79.874	0	0
FBgn0267896	719	541.547	0.000307	0.001
FBgn0260225	1197	1019.16	0	0
FBgn0040928	1085	907.164	4.2617	26
FBgn0262789	532	354.646	0.838554	2
FBgn0058461	391	213.781	0.000915	0.001
FBgn0042701	620	442.605	0.006932	0.021
FBgn0263493	352	174.806	0.000766	0.001
FBgn0265917	359	181.803	0	0
FBgn0262163	610	432.613	0.687426	2
FBgn0085831	237	60.1	0	0
FBgn0267108	321	143.824	0.000929	0.001
FBgn0051032	770	592.525	13.0495	52
FBgn0266102	391	213.781	0.004176	0.006
FBgn0053867	526	348.65	0.986329	2.313
FBgn0267026	323	145.823	0	0
FBgn0267519	2689	2511.16	3551.29	59974.4
FBgn0058005	1227	1049.16	0.172765	1.219
FBgn0039979	803	625.503	7.01778	29.521
FBgn0053318	523	345.651	0	0
FBgn0053805	440	262.721	0.006361	0.011
FBgn0267419	780	602.519	0	0
FBgn0267892	760	582.528	0	0
FBgn0267902	582	404.625	0	0
FBgn0262964	777	599.522	0.496045	2
FBgn0085790	1041	863.164	0.332531	1.93
FBgn0267879	601	423.616	0	0
FBgn0085291	1130	952.164	0.144164	0.923
FBgn0263093	1195.89	1018.06	24.8808	170.349
FBgn0267952	1290	1112.16	0	0
FBgn0030117	636	458.586	0.088986	0.274
FBgn0058182	291	113.842	0	0
FBgn0052518	75	26.593	5.59149	1
FBgn0027934	1345	1167.16	0	0
FBgn0085340	423	245.74	0	0
FBgn0263744	845	667.474	0	0
FBgn0263210	221	45.574	0	0
FBtr0346869	123	58.459	3.10246	1.22
FBgn0267427	697	519.555	0	0
FBgn0263975	1131	953.164	3.58803	23
FBgn0267869	420	242.745	0.00022	0
FBgn0037560	956.766	779.185	47.8993	251
FBgn0263212	220	44.749	0	0
FBgn0085732	1478.87	1301.04	71.7716	627.981
FBgn0267593	610	432.613	0	0
FBgn0058100	394	216.777	7.59234	11.069
FBgn0264888	465	287.699	1.03368	2
FBgn0037143	1446	1268.16	0.234504	2
FBgn0262510	501	323.671	5.0175	10.922
FBgn0263771	276	98.854	0	0
FBgn0053315	421	243.743	0.610047	1
FBgn0050029	480	302.699	0	0
FBgn0085791	1041	863.164	0.03766	0.219
FBgn0085804	252	74.886	0	0
FBgn0267876	766	588.526	0	0
