Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.85	0	0
FBgn0267873	257	83.968	0	0
FBgn0267896	719	545.689	0.002016	0.008
FBgn0260225	1197	1023.41	0	0
FBgn0040928	1085	911.414	2.99626	21
FBgn0262789	532	358.771	0.362459	1
FBgn0058461	391	217.886	0.820919	1.375
FBgn0042701	620	446.739	0.756741	2.6
FBgn0263493	352	178.91	0.00052	0.001
FBgn0265917	359	185.907	0	0
FBgn0262163	610	436.746	0	0
FBgn0085831	237	63.994	0	0
FBgn0267108	321	147.92	12.8405	14.606
FBgn0051032	770	596.666	12.4228	57
FBgn0266102	391	217.886	2.97582	4.986
FBgn0053867	526	352.776	0.020102	0.055
FBgn0267026	323	149.919	0	0
FBgn0267519	2689	2515.41	2390.9	46248.2
FBgn0058005	1227	1053.41	0.196573	1.592
FBgn0039979	803	629.646	8.20171	39.712
FBgn0053318	523	349.778	1.17454	3.159
FBgn0053805	440	266.834	0.851168	1.747
FBgn0267419	780	606.66	0	0
FBgn0267892	760	586.67	0	0
FBgn0267902	582	408.756	0.000275	0.001
FBgn0262964	777	603.663	0.861671	4
FBgn0085790	1041	867.414	0.202585	1.351
FBgn0267879	601	427.75	0.000576	0.002
FBgn0085291	1130	956.414	0.251617	1.851
FBgn0263093	1186.68	1013.09	34.4558	268.432
FBgn0267952	1290	1116.41	0	0
FBgn0030117	636	462.717	0.035279	0.126
FBgn0058182	291	117.94	0	0
FBgn0052518	75	25.644	5.07101	1
FBgn0027934	1345	1171.41	0	0
FBgn0085340	423	249.85	0	0
FBgn0263744	845	671.617	0.193622	1
FBgn0263210	221	48.151	5.26002	1.948
FBtr0346869	123	48.461	19.0524	7.1
FBgn0267427	697	523.696	0	0
FBgn0263975	1131	957.414	2.71648	20
FBgn0267869	420	246.852	0.00065	0.001
FBgn0037560	966.292	792.857	46.744	285
FBgn0263212	220	47.19	0	0
FBgn0085732	1475.6	1302.02	68.9305	690.164
FBgn0267593	610	436.746	0	0
FBgn0058100	394	220.882	7.61481	12.934
FBgn0264888	465	291.819	0	0
FBgn0037143	1446	1272.41	0	0
FBgn0262510	501	327.791	2.1247	5.356
FBgn0263771	276	102.951	0	0
FBgn0053315	421	247.851	0.524669	1
FBgn0050029	480	306.815	0	0
FBgn0085791	1041	867.414	0.165523	1.104
FBgn0085804	252	78.974	0	0
FBgn0267876	766	592.667	0	0
FBgn0267494	656	482.705	0	0
FBgn0085792	1211	1037.41	3.20973	25.606
FBgn0053013	2636	2462.41	0	0
FBgn0266211	1668	1494.41	1.91438	22
FBgn0265141	1303	1129.41	0	0
FBgn0051292	435.525	262.368	0.018916	0.038
FBgn0053294	1991.38	1817.79	1.43074	20
FBgn0000280	166	13.084	19.8776	2
FBgn0262885	102	39.833	0	0
FBgn0011812	456	282.824	0.459791	1
FBgn0265533	384.5	211.381	0	0
FBgn0052496	778	604.662	1.62351	7.549
FBgn0052009	2997.49	2823.91	0.581652	12.631
FBtr0347033	1076	902.414	0	0
FBgn0262688	493	319.796	0.406634	1
FBgn0053222	544.032	370.8	0.097014	0.276
FBgn0266940	581	407.756	0	0
FBgn0262565	802	628.647	1.02797	4.969
FBgn0263002	361	187.907	0	0
FBgn0084049	531	357.771	19.6779	54.139
FBgn0263211	352	178.91	0.001279	0.002
