Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.790	0.000000	0.000
FBtr0300738	2350	2176.414	0.185085	3.098
FBtr0300739	2172	1998.414	0.182377	2.803
FBtr0300737	2184	2010.414	0.228743	3.536
FBtr0300736	2338	2164.414	0.152004	2.530
FBtr0078628	2467	2293.414	0.136279	2.403
FBtr0300740	2479	2305.414	0.163352	2.896
FBtr0078627	2301	2127.414	0.159472	2.609
FBtr0300741	2313	2139.414	0.195362	3.214
FBtr0072762	889	715.597	75.682742	416.475
FBtr0346821	1270	1096.414	5.143369	43.366
FBtr0331460	900	726.595	0.331119	1.850
FBtr0303848	5005	4831.414	9.515093	353.518
FBtr0086122	1465	1291.414	0.604174	6.000
FBtr0335147	3125	2951.414	2.517442	57.136
FBtr0081459	3019	2845.414	19.630612	429.540
FBtr0305321	6523	6349.414	1.436229	70.126
FBtr0083716	5665	5491.414	20.267568	855.874
FBtr0078184	1305	1131.414	0.459742	4.000
FBtr0081691	765	591.667	0.108274	0.493
FBtr0085263	1228	1054.414	0.123329	1.000
FBtr0086342	492	318.796	0.000000	0.000
FBtr0086343	495	321.795	0.000000	0.000
FBtr0091847	1023	849.414	1.021020	6.669
FBtr0072393	1393	1219.414	13.628267	127.796
FBtr0343502	867	693.602	0.883037	4.710
FBtr0343753	3569	3395.414	4.015902	104.858
FBtr0433525	3725	3551.414	0.253290	6.917
FBtr0113895	961	787.572	28.399088	171.996
FBtr0345179	887	713.597	58.679250	322.004
FBtr0334135	4703	4529.414	0.290504	10.119
FBtr0334137	4561	4387.414	0.442969	14.945
FBtr0334141	5321	5147.414	0.206136	8.160
FBtr0334139	4203	4029.414	0.459947	14.252
FBtr0334140	5704	5530.414	0.193848	8.244
FBtr0344148	4894	4720.414	0.264591	9.605
FBtr0334142	5071	4897.414	0.228160	8.593
FBtr0334138	5563	5389.414	0.183380	7.600
FBtr0334136	3862	3688.414	1.251593	35.500
FBtr0085105	995	821.540	11.080150	70.000
FBtr0346720	2745	2571.414	0.000000	0.000
FBtr0076089	442	268.832	0.000000	0.000
FBtr0087500	1417	1243.414	12.863686	123.000
FBtr0073094	1694	1520.414	6.571994	76.839
FBtr0073093	1577	1403.414	72.474680	782.161
FBtr0343515	1092	918.414	0.234625	1.657
FBtr0072451	975	801.559	9.140720	56.343
FBtr0071607	2252	2078.414	2.815507	45.000
FBtr0081516	4704	4530.414	0.114815	4.000
FBtr0300749	931	757.588	0.687207	4.004
FBtr0346532	1185	1011.414	0.580438	4.514
FBtr0073076	880	706.598	67.446035	366.482
FBtr0089289	4677	4503.414	3.352937	116.116
FBtr0100448	4590	4416.414	1.546516	52.523
FBtr0089290	4681	4507.414	1.330531	46.119
FBtr0089288	4037	3863.414	7.728500	229.610
FBtr0100447	4417	4243.414	1.394190	45.495
FBtr0329933	4663	4489.414	1.291087	44.573
FBtr0336949	2826	2652.414	21.550545	439.565
FBtr0088786	1378	1204.414	75.281088	697.245
FBtr0088785	1869	1695.414	19.147325	249.636
FBtr0303077	607	433.748	0.000000	0.000
FBtr0339716	615	441.743	0.079848	0.271
FBtr0085459	600	426.751	79.144746	259.729
FBtr0070973	1218	1044.414	0.622549	5.000
FBtr0089252	2767	2593.414	2.428848	48.439
FBtr0334488	2840	2666.414	1.600319	32.814
FBtr0334489	2902	2728.414	1.625732	34.110
FBtr0100600	3804	3630.414	3.354030	93.637
FBtr0300305	309	135.927	0.000000	0.000
FBtr0077162	567	393.760	0.000000	0.000
FBtr0072277	713	539.691	57.828590	240.000
FBtr0344898	1082	908.414	0.000000	0.000
FBtr0086817	1175	1001.414	0.000000	0.000
FBtr0333271	5146	4972.414	0.743328	28.423
FBtr0072639	5149	4975.414	0.931516	35.640
FBtr0340000	824	650.637	1.987568	9.945
FBtr0087390	427	253.846	99.922776	195.055
FBtr0070472	3021	2847.414	2.881020	63.084
FBtr0331752	4499	4325.414	16.739376	556.789
FBtr0070475	3174	3000.414	6.802008	156.943
FBtr0070474	3218	3044.414	1.635378	38.287
FBtr0302185	2166	1992.414	1.431597	21.934
FBtr0070471	4805	4631.414	10.440476	371.841
FBtr0112828	2903	2729.414	4.814166	101.045
FBtr0301966	3182	3008.414	1.375871	31.830
FBtr0070468	3055	2881.414	7.686983	170.328
FBtr0070476	2745	2571.414	0.521954	10.321
FBtr0070470	3110	2936.414	1.833339	41.398
FBtr0331751	4750	4576.414	1.207738	42.503
FBtr0070469	4244	4070.414	12.011854	375.987
FBtr0070467	2929	2755.414	0.599026	12.693
FBtr0331753	5004	4830.414	0.639799	23.766
FBtr0070466	2847	2673.414	2.482406	51.034
FBtr0070473	3091	2917.414	2.610288	58.561
FBtr0076265	1575	1401.414	47.787615	514.998
FBtr0331935	1030	856.414	0.174299	1.148
FBtr0088237	816	642.641	97.908557	483.852
FBtr0081705	1363	1189.414	0.000000	0.000
FBtr0088524	1299	1125.414	87.007903	753.000
FBtr0074540	843	669.618	26.799597	138.000
FBtr0074494	1357	1183.414	0.659311	6.000
FBtr0085714	3349	3175.414	103.549764	2528.560
FBtr0085713	3440	3266.414	866.785328	21772.416
FBtr0076256	334	160.916	1.616246	2.000
FBtr0339552	1718	1544.414	12.332195	146.463
FBtr0078950	1533	1359.414	28.366331	296.537
FBtr0070990	1321	1147.414	1.329360	11.730
