Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.755	0	0
FBgn0267873	257	75.878	0	0
FBgn0267896	719	537.595	0.000253	0.001
FBgn0260225	1197	1015.28	0.029859	0.268
FBgn0040928	1085	903.282	3.6352	29
FBgn0262789	532	350.665	0.64579	2
FBgn0058461	391	209.792	0.643111	1.192
FBgn0042701	620	438.64	0.30175	1.169
FBgn0263493	352	170.813	0.000212	0
FBgn0265917	359	177.811	0	0
FBgn0262163	610	428.647	0.264152	1
FBgn0085831	237	55.966	0	0
FBgn0267108	321	139.826	0.000537	0.001
FBgn0051032	770	588.575	13.4663	70
FBgn0266102	391	209.792	2.28363	4.231
FBgn0053867	526	344.668	0.016129	0.049
FBgn0267026	323	141.825	0.000128	0
FBgn0267519	2689	2507.28	1852.94	41030.8
FBgn0058005	1227	1045.28	0.100368	0.927
FBgn0039979	803	621.558	7.77555	42.683
FBgn0053318	523	341.671	0.331395	1
FBgn0053805	440	258.735	0.003961	0.009
FBgn0267419	780	598.569	0	0
FBgn0267892	760	578.577	0.00026	0.001
FBgn0267902	582	400.656	0	0
FBgn0262964	777	595.57	0.190117	1
FBgn0085790	1041	859.282	0.486121	3.689
FBgn0267879	601	419.653	0	0
FBgn0085291	1130	948.282	0.081189	0.68
FBgn0263093	1194.61	1012.89	29.7606	266.225
FBgn0267952	1290	1108.28	0	0
FBgn0030117	636	454.619	0.067864	0.272
FBgn0058182	291	109.845	0	0
FBgn0052518	75	26.052	0	0
FBgn0027934	1345	1163.28	0	0
FBgn0085340	423	241.755	0	0
FBgn0263744	845	663.54	0	0
FBgn0263210	221	41.367	0	0
FBtr0346869	123	49.814	2.68184	1.18
FBgn0267427	697	515.602	0	0
FBgn0263975	1131	949.282	2.50483	21
FBgn0267869	420	238.758	0.000321	0.001
FBgn0037560	964.075	782.523	46.158	319
FBgn0263212	220	40.553	0	0
FBgn0085732	1474.53	1292.81	80.6202	920.502
FBgn0267593	610	428.647	0	0
FBgn0058100	394	212.789	5.17124	9.718
FBgn0264888	465	283.715	0	0
FBgn0037143	1446	1264.28	0.089559	1
FBgn0262510	501	319.685	1.71722	4.848
FBgn0263771	276	94.86	0	0
FBgn0053315	421	239.757	0	0
FBgn0050029	480	298.715	0	0
FBgn0085791	1041	859.282	0.036022	0.273
FBgn0085804	252	70.884	0	0
FBgn0267876	766	584.577	0.00026	0.001
FBgn0267494	656	474.608	0	0
FBgn0085792	1211	1029.28	1.42804	12.981
FBgn0053013	2636	2454.28	0	0
FBgn0266211	1668	1486.28	1.75219	23
FBgn0265141	1303	1121.28	0	0
FBgn0051292	440.631	259.367	0.018727	0.043
FBgn0053294	1989.74	1808.02	2.69289	43
FBgn0000280	166	13.173	0	0
FBgn0262885	102	39.511	0	0
FBgn0011812	456	274.721	0	0
FBgn0265533	384.5	203.286	0	0
FBgn0052496	778	596.57	1.73511	9.142
FBgn0052009	2998.19	2816.47	0.817096	20.325
FBtr0347033	1076	894.282	0	0
FBgn0262688	493	311.69	0	0
FBgn0053222	541.068	359.73	3.1807	10.106
FBgn0266940	581	399.656	0	0
FBgn0262565	802	620.558	0.182461	1
FBgn0263002	361	179.81	0	0
FBgn0084049	531	349.665	15.9572	49.278
FBgn0263211	352	170.813	0.00093	0.001
FBgn0267872	775	593.571	0.000261	0.001
FBgn0262031	330	148.821	39.8907	52.43
FBgn0267014	274	92.862	7.50154	6.152
FBgn0039987	184	16.555	0	0
FBgn0261640	810	628.555	0.619288	3.438
FBgn0052761	71	24.188	0	0
FBgn0267863	274	92.862	0	0
FBgn0052034	74	25.559	0	0
FBgn0262795	735	553.586	0	0
FBgn0261856	450	268.724	0.007018	0.017
FBgn0051485	73	25.075	0	0
FBgn0267610	864	682.507	0	0
FBgn0262851	1188	1006.28	9.18289	81.61
FBgn0053416	143	54.369	0	0
FBgn0267520	357	175.811	1.60308	2.489
FBgn0085765	30	10.718	0	0
