Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.583	0	0
FBtr0300738	2350	2168.38	0	0
FBtr0300739	2172	1990.38	1.64892	28.969
FBtr0300737	2184	2002.38	0.00175324	0.0309874
FBtr0300736	2338	2156.38	0	0
FBtr0078628	2467	2285.38	0	0
FBtr0300740	2479	2297.38	0	0
FBtr0078627	2301	2119.38	0	0
FBtr0300741	2313	2131.38	0	0
FBtr0072762	889	707.38	71.096	443.91
FBtr0346821	1270	1088.38	4.23816	40.7151
FBtr0331460	900	718.38	2.30682	14.6273
FBtr0303848	5005	4823.38	4.48461	190.93
FBtr0086122	1465	1283.38	0.617939	7
FBtr0335147	3125	2943.38	0	0
FBtr0081459	3019	2837.38	21.1727	530.262
FBtr0305321	6523	6341.38	1.05959	59.3089
FBtr0083716	5665	5483.38	18.2374	882.691
FBtr0078184	1305	1123.38	0.6051	6
FBtr0081691	765	583.38	0	0
FBtr0085263	1228	1046.38	0	0
FBtr0086342	492	310.616	0	0
FBtr0086343	495	313.616	0	0
FBtr0091847	1023	841.38	0.795374	5.90691
FBtr0072393	1393	1211.38	14.0286	150
FBtr0343502	867	685.38	2.68311e-06	1.62318e-05
FBtr0343753	3569	3387.38	3.31106	98.9985
FBtr0433525	3725	3543.38	0	0
FBtr0113895	961	779.38	24.4958	168.515
FBtr0345179	887	705.38	46.8163	291.485
FBtr0334135	4703	4521.38	0	0
FBtr0334137	4561	4379.38	0.386829	14.953
FBtr0334141	5321	5139.38	0	0
FBtr0334139	4203	4021.38	0	0
FBtr0334140	5704	5522.38	0	0
FBtr0344148	4894	4712.38	0	0
FBtr0334142	5071	4889.38	0	0
FBtr0334138	5563	5381.38	0	0
FBtr0334136	3862	3680.38	3.35679	109.047
FBtr0085105	995	813.38	9.19292	66
FBtr0346720	2745	2563.38	0	0
FBtr0076089	442	260.672	0	0
FBtr0087500	1417	1235.38	11.4634	125
FBtr0073094	1694	1512.38	6.16547	82.3046
FBtr0073093	1577	1395.38	77.1884	950.695
FBtr0343515	1092	910.38	0	0
FBtr0072451	975	793.38	10.4242	73
FBtr0071607	2252	2070.38	3.33797	61
FBtr0081516	4704	4522.38	0.15031	6
FBtr0300749	931	749.38	3.45497	22.853
FBtr0346532	1185	1003.38	0.371452	3.28977
FBtr0073076	880	698.38	60.8103	374.857
FBtr0089289	4677	4495.38	0.322408	12.7929
FBtr0100448	4590	4408.38	0.428495	16.6733
FBtr0089290	4681	4499.38	0.000416273	0.0165321
FBtr0089288	4037	3855.38	12.2684	417.497
FBtr0100447	4417	4235.38	2.74171	102.497
FBtr0329933	4663	4481.38	0.040019	1.58298
FBtr0336949	2826	2644.38	22.8756	533.94
FBtr0088786	1378	1196.38	82.3274	869.382
FBtr0088785	1869	1687.38	11.4484	170.512
FBtr0303077	607	425.436	0	0
FBtr0339716	615	433.436	0	0
FBtr0085459	600	418.436	82.5798	305
FBtr0070973	1218	1036.38	1.20248	11
FBtr0089252	2767	2585.38	3.19133	72.8271
