Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.971	0	0
FBgn0283429	369	195.971	1.87493	2.8251
FBgn0267873	257	84.0619	0	0
FBgn0267896	719	545.776	0	0
FBgn0260225	1197	1023.66	0	0
FBgn0262849	1188	1014.66	5.76141	44.9476
FBgn0040928	1085	911.663	2.99591	21
FBgn0262789	532	358.823	0.362463	1
FBgn0058461	391	217.971	0.890424	1.49229
FBgn0042701	620	446.823	0.761279	2.61539
FBgn0263493	352	178.971	0	0
FBgn0265917	359	185.971	0	0
FBgn0262163	610	436.823	0	0
FBgn0085831	237	64.0694	0	0
FBgn0267108	321	147.988	13.278	15.1082
FBgn0051032	770	596.663	12.4248	57
FBgn0266102	391	217.971	3.43769	5.76132
FBgn0053867	526	352.823	0	0
FBgn0267026	323	149.988	0	0
FBgn0267519	2689	2515.66	2396.61	46355.9
FBgn0058005	1227	1053.66	0	0
FBgn0039979	803	629.663	8.23853	39.8854
FBgn0053318	523	349.823	1.17551	3.16177
FBgn0053805	440	266.946	0.919753	1.88778
FBgn0267419	780	606.663	0	0
FBgn0267892	760	586.663	0	0
FBgn0267902	582	408.823	0	0
FBgn0267867	274	101.034	2.57457	2
FBgn0262964	777	603.663	0.861805	4
FBgn0085790	1041	867.663	0	0
FBgn0267879	601	427.823	0	0
FBgn0267886	266	93.0534	0	0
FBgn0085291	1130	956.663	0	0
FBgn0263093	1182	1008.66	37.0802	287.571
FBgn0267885	690	516.776	0	0
FBgn0030117	636	462.823	0	0
FBgn0058182	291	118.001	0	0
FBgn0052518	75	20.7895	6.25605	1
FBgn0027934	1345	1171.66	0	0
FBgn0085340	423	249.971	0	0
FBgn0263744	845	671.663	0.193639	1
FBgn0263207	354	180.971	0	0
FBgn0263210	221	48.2436	6.76478	2.50928
FBgn0267427	697	523.776	0	0
FBgn0263975	1131	957.663	2.7162	20
FBgn0267869	420	246.971	0	0
FBgn0037560	559.75	460.721	45.9644	285
FBgn0263212	220	47.3102	0	0
FBgn0085732	528.078	466.034	64.8384	649.089
