Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.681	0.000000	0.000
FBtr0300738	2350	2168.282	0.160092	3.066
FBtr0300739	2172	1990.282	0.266997	4.693
FBtr0300737	2184	2002.282	0.248335	4.391
FBtr0300736	2338	2156.282	0.168741	3.213
FBtr0078628	2467	2285.282	0.146449	2.956
FBtr0300740	2479	2297.282	0.139741	2.835
FBtr0078627	2301	2119.282	0.215716	4.038
FBtr0300741	2313	2131.282	0.203134	3.824
FBtr0072762	889	707.490	71.318452	445.624
FBtr0346821	1270	1088.282	4.047058	38.898
FBtr0331460	900	718.488	2.477796	15.723
FBtr0303848	5005	4823.282	8.304289	353.746
FBtr0086122	1465	1283.282	0.617631	7.000
FBtr0335147	3125	2943.282	2.213664	57.543
FBtr0081459	3019	2837.282	18.904862	473.721
FBtr0305321	6523	6341.282	1.273030	71.296
FBtr0083716	5665	5483.282	18.021048	872.704
FBtr0078184	1305	1123.282	0.604806	6.000
FBtr0081691	765	583.577	0.000000	0.000
FBtr0085263	1228	1046.282	0.000000	0.000
FBtr0086342	492	310.691	0.000000	0.000
FBtr0086343	495	313.689	0.000000	0.000
FBtr0091847	1023	841.282	1.424403	10.583
FBtr0072393	1393	1211.282	13.585688	145.336
FBtr0343502	867	685.504	0.770361	4.664
FBtr0343753	3569	3387.282	4.050480	121.173
FBtr0433525	3725	3543.282	0.164268	5.141
FBtr0113895	961	779.449	24.709309	170.096
FBtr0345179	887	705.490	46.528198	289.904
FBtr0334135	4703	4521.282	0.280134	11.186
FBtr0334137	4561	4379.282	0.444939	17.209
FBtr0334141	5321	5139.282	0.200368	9.094
FBtr0334139	4203	4021.282	0.500822	17.787
FBtr0334140	5704	5522.282	0.165390	8.066
FBtr0344148	4894	4712.282	0.263094	10.949
FBtr0334142	5071	4889.282	0.216235	9.337
FBtr0334138	5563	5381.282	0.176714	8.399
FBtr0334136	3862	3680.282	1.014441	32.973
FBtr0085105	995	813.417	9.465623	68.000
FBtr0346720	2745	2563.282	0.000000	0.000
FBtr0076089	442	260.733	0.000000	0.000
FBtr0087500	1417	1235.282	11.457698	125.000
FBtr0073094	1694	1512.282	6.595235	88.087
FBtr0073093	1577	1395.282	76.680244	944.913
FBtr0343515	1092	910.282	0.180708	1.453
FBtr0072451	975	793.431	10.210267	71.547
FBtr0071607	2252	2070.282	3.336213	61.000
FBtr0081516	4704	4522.282	0.150227	6.000
FBtr0300749	931	749.480	1.877707	12.429
FBtr0346532	1185	1003.282	0.502847	4.456
FBtr0073076	880	698.492	62.266376	384.115
FBtr0089289	4677	4495.282	0.850146	33.752
FBtr0100448	4590	4408.282	1.163109	45.283
FBtr0089290	4681	4499.282	1.096874	43.586
FBtr0089288	4037	3855.282	9.794618	333.496
FBtr0100447	4417	4235.282	1.510565	56.503
FBtr0329933	4663	4481.282	1.151098	45.558
FBtr0336949	2826	2644.282	22.558519	526.823
FBtr0088786	1378	1196.282	82.011852	866.476
FBtr0088785	1869	1687.282	11.648266	173.578
FBtr0303077	607	425.651	0.000000	0.000
FBtr0339716	615	433.644	0.057857	0.222
FBtr0085459	600	418.653	82.700017	305.778
FBtr0070973	1218	1036.282	1.201900	11.000
FBtr0089252	2767	2585.282	2.363787	53.971
FBtr0334488	2840	2658.282	2.150027	50.477
FBtr0334489	2902	2720.282	0.814801	19.575
FBtr0100600	3804	3622.282	3.274280	104.748
FBtr0300305	309	127.831	0.000000	0.000
FBtr0077162	567	385.660	0.000000	0.000
FBtr0072277	713	531.597	55.591872	261.000
FBtr0344898	1082	900.282	0.000000	0.000
FBtr0086817	1175	993.282	0.000000	0.000
FBtr0333271	5146	4964.282	0.643296	28.204
FBtr0072639	5149	4967.282	0.588008	25.796
FBtr0340000	824	642.548	1.158313	6.573
FBtr0087390	427	245.750	101.099626	219.427
FBtr0070472	3021	2839.282	2.842664	71.282
FBtr0331752	4499	4317.282	14.963018	570.527
FBtr0070475	3174	2992.282	7.303312	193.005
FBtr0070474	3218	3036.282	0.538102	14.430
FBtr0302185	2166	1984.282	1.752233	30.707
FBtr0070471	4805	4623.282	10.095402	412.212
FBtr0112828	2903	2721.282	4.755353	114.289
FBtr0301966	3182	3000.282	0.948773	25.140
FBtr0070468	3055	2873.282	9.318303	236.462
FBtr0070476	2745	2563.282	0.381915	8.646
FBtr0070470	3110	2928.282	1.440695	37.259
FBtr0331751	4750	4568.282	1.312250	52.944
FBtr0070469	4244	4062.282	12.931875	463.957
FBtr0070467	2929	2747.282	0.486380	11.801
FBtr0331753	5004	4822.282	1.105524	47.083
FBtr0070466	2847	2665.282	1.575836	37.094
FBtr0070473	3091	2909.282	1.640894	42.161
FBtr0076265	1575	1393.282	56.074255	690.000
FBtr0331935	1030	848.282	0.148378	1.112
FBtr0088237	816	634.552	101.867974	570.888
FBtr0081705	1363	1181.282	0.000000	0.000
FBtr0088524	1299	1117.282	86.140935	850.000
FBtr0074540	843	661.541	24.304396	142.000
FBtr0074494	1357	1175.282	0.385364	4.000
FBtr0085714	3349	3167.282	116.303391	3253.312
FBtr0085713	3440	3258.282	852.912703	24543.688
FBtr0076256	334	152.818	2.963729	4.000
FBtr0339552	1718	1536.282	10.158999	137.838
FBtr0078950	1533	1351.282	27.749054	331.162
FBtr0070990	1321	1139.282	1.300901	13.089
FBtr0100409	805	623.557	0.413781	2.279
FBtr0343330	706	524.600	108.704690	503.644
FBtr0304902	1617	1435.282	0.424906	5.386
FBtr0304901	2286	2104.282	0.248265	4.614
FBtr0078872	1228	1046.282	0.108219	1.000
FBtr0077839	2112	1930.282	9.067107	154.574
FBtr0077837	2331	2149.282	2.733281	51.883
FBtr0077838	2235	2053.282	3.398745	61.633
FBtr0077836	2325	2143.282	25.406104	480.910
FBtr0075133	4018	3836.282	0.405453	13.737
FBtr0332862	2190	2008.282	3.679549	65.263
FBtr0087988	1754	1572.282	172.507994	2395.445
FBtr0087987	1948	1766.282	474.601497	7403.477
FBtr0074688	1633	1451.282	52.584958	674.000
FBtr0086864	3503	3321.282	13.602557	399.000
FBtr0083361	1283	1101.282	0.000000	0.000
FBtr0392904	4164	3982.282	9.136306	321.329
FBtr0084588	2385	2203.282	99.158154	1929.501
FBtr0303161	2639	2457.282	12.045559	261.414
FBtr0079257	1918	1736.282	16.238000	249.000
FBtr0307341	906	724.488	0.000270	0.002
FBtr0084989	527	345.667	0.000185	0.001
FBtr0306309	750	568.578	0.782118	3.927
FBtr0344570	539	357.663	0.022974	0.073
FBtr0078090	1219	1037.282	33.948220	311.000
FBtr0087439	546	364.662	25.461047	82.000
FBtr0070960	2096	1914.282	0.128505	2.173
FBtr0302357	2296	2114.282	0.104990	1.960
FBtr0302356	2428	2246.282	0.094302	1.871
FBtr0340571	3830	3648.282	0.015518	0.500
FBtr0340572	3825	3643.282	0.015539	0.500
FBtr0080267	3305	3123.282	0.000000	0.000
FBtr0077141	787	605.562	0.000000	0.000
FBtr0306593	981	799.424	0.000000	0.000
FBtr0081719	1938	1756.282	80.200961	1244.000
FBtr0071549	1655	1473.282	34.814949	453.000
FBtr0308832	1068	886.282	11.298761	88.440
FBtr0308833	2043	1861.282	29.901941	491.539
FBtr0074921	2263	2081.282	2.721276	50.021
FBtr0073011	1996	1814.282	0.062409	1.000
FBtr0112378	450	268.724	0.000000	0.000
FBtr0342602	1596	1414.282	0.202090	2.524
FBtr0080326	1217	1035.282	92.906436	849.476
FBtr0085405	675	493.607	182.822886	797.000
FBtr0339295	331	149.820	0.000000	0.000
FBtr0300316	205	29.356	0.000000	0.000
FBtr0300904	2130	1948.282	0.000000	0.000
FBtr0081633	2196	2014.282	0.000000	0.000
FBtr0300905	2052	1870.282	0.000000	0.000
FBtr0335279	1234	1052.282	0.075494	0.702
FBtr0335281	1199	1017.282	0.079284	0.712
FBtr0290216	733	551.587	0.000000	0.000
FBtr0335280	740	558.581	0.000000	0.000
FBtr0077120	1711	1529.282	17.606504	237.797
FBtr0081676	887	705.490	0.000000	0.000
FBtr0076639	2093	1911.282	0.153230	2.587
FBtr0079280	1148	966.282	0.234358	2.000
FBtr0304827	5797	5615.282	0.069263	3.435
FBtr0433494	6405	6223.282	0.120282	6.611
FBtr0333832	6581	6399.282	0.113645	6.423
FBtr0433497	5654	5472.282	0.072159	3.487
FBtr0333833	6118	5936.282	0.063553	3.332
FBtr0433496	5848	5666.282	0.066480	3.327
FBtr0304826	8410	8228.282	0.066206	4.811
FBtr0433495	8302	8120.282	0.067588	4.847
FBtr0433493	8251	8069.282	0.069562	4.957
FBtr0300808	2019	1837.282	0.000000	0.000
FBtr0300809	4061	3879.282	0.000000	0.000
FBtr0301700	4064	3882.282	0.000000	0.000
FBtr0072287	5108	4926.282	28.661611	1247.000
FBtr0343633	2816	2634.282	5.824290	135.504
FBtr0074281	2640	2458.282	55.591384	1206.940
FBtr0343632	2730	2548.282	2.293766	51.623
FBtr0074279	3898	3716.282	39.802295	1306.361
FBtr0074280	3895	3713.282	2.395853	78.571
FBtr0072238	1035	853.282	0.000000	0.000
FBtr0308073	1317	1135.282	0.955677	9.582
FBtr0082360	764	582.577	82.807516	426.059
FBtr0082361	1024	842.282	0.182709	1.359
FBtr0079938	1428	1246.282	4.179217	46.000
FBtr0077227	1279	1097.282	177.899302	1724.007
FBtr0091702	1278	1096.282	8.035831	77.804
FBtr0074882	2425	2243.282	19.131097	379.027
FBtr0332153	3588	3406.282	2.307079	69.405
FBtr0310476	2042	1860.282	3.414882	56.105
FBtr0100666	2416	2234.282	9.007282	177.737
FBtr0332726	2033	1851.282	2.674358	43.726
FBtr0080287	1089	907.282	24.704390	197.953
FBtr0309307	5887	5705.282	0.051222	2.581
FBtr0300898	5037	4855.282	0.009773	0.419
FBtr0080024	1050	868.282	9.389126	72.000
FBtr0077389	2263	2081.282	101.624724	1868.000
FBtr0290204	1958	1776.282	0.000000	0.000
FBtr0086689	848	666.538	20.539197	120.908
FBtr0306636	1574	1392.282	13.593385	167.148
FBtr0086687	1472	1290.282	17.766594	202.458
FBtr0086690	2195	2013.282	0.727496	12.935
FBtr0086686	1532	1350.282	1.074844	12.818
FBtr0340359	2225	2043.282	2.552869	46.068
FBtr0301148	981	799.424	83.880492	592.222
FBtr0086684	908	726.488	0.494558	3.173
FBtr0306637	2237	2055.282	1.226625	22.265
FBtr0301149	1514	1332.282	2.039999	24.003
FBtr0086600	1106	924.282	0.844053	6.890
FBtr0331978	1118	936.282	24.079075	199.110
FBtr0078769	621	439.637	4168.937692	16187.000
FBtr0070712	1878	1696.282	0.667506	10.000
FBtr0343263	1108	926.282	0.000000	0.000
FBtr0343264	928	746.481	0.000000	0.000
FBtr0072024	920	738.485	0.000000	0.000
FBtr0113111	979	797.426	0.000000	0.000
FBtr0333452	4664	4482.282	0.133647	5.291
FBtr0333450	3996	3814.282	0.117326	3.952
FBtr0333451	4043	3861.282	0.114449	3.903
FBtr0300831	4092	3910.282	0.111602	3.854
FBtr0076303	1640	1458.282	0.890922	11.474
FBtr0076302	1655	1473.282	0.838687	10.913
FBtr0076301	2049	1867.282	80.139720	1321.613
FBtr0077098	1123	941.282	93.129719	774.203
FBtr0070552	1047	865.282	0.130857	1.000
FBtr0075818	1346	1164.282	32.773677	337.000
FBtr0088789	1908	1726.282	5.575202	85.000
FBtr0304960	503	321.685	0.000000	0.000
FBtr0075249	843	661.541	0.000000	0.000
FBtr0084104	1804	1622.282	237.164929	3398.000
FBtr0336911	2177	1995.282	7.154096	126.068
FBtr0088974	1597	1415.282	18.630596	232.871
FBtr0100360	4963	4781.282	0.779363	32.910
FBtr0110880	2920	2738.282	0.095858	2.318
FBtr0334105	2225	2043.282	0.088329	1.594
FBtr0301185	2946	2764.282	0.087776	2.143
FBtr0110881	4262	4080.282	1.887964	68.035
FBtr0336928	1138	956.282	0.207772	1.755
FBtr0072107	995	813.417	0.034136	0.245
FBtr0085786	2956	2774.282	18.643814	456.806
FBtr0085785	3082	2900.282	0.868769	22.253
FBtr0334549	2894	2712.282	1.785307	42.766
FBtr0334550	3020	2838.282	0.565491	14.175
FBtr0340191	4545	4363.282	6.020596	232.006
FBtr0073848	4477	4295.282	54.804341	2078.994
FBtr0078387	3371	3189.282	8.897658	250.620
FBtr0087487	2027	1845.282	14.787942	241.000
FBtr0083735	2688	2506.282	0.128505	2.844
FBtr0332539	2448	2266.282	0.162752	3.258
FBtr0077790	977	795.427	0.000000	0.000
FBtr0331440	941	759.475	0.000000	0.000
FBtr0331439	971	789.438	0.000000	0.000
FBtr0082634	1746	1564.282	19.615875	271.000
FBtr0079612	1320	1138.282	6.963084	70.000
FBtr0087980	1799	1617.282	0.000000	0.000
FBtr0087979	1558	1376.282	0.000000	0.000
FBtr0072044	1063	881.282	0.000000	0.000
FBtr0343206	1072	890.282	0.000000	0.000
FBtr0072043	1160	978.282	0.000000	0.000
FBtr0075225	1132	950.282	0.000000	0.000
FBtr0112489	446	264.729	12.636194	29.544
FBtr0339263	740	558.581	0.700623	3.456
FBtr0301018	2276	2094.282	1.405697	26.000
FBtr0302526	640	458.617	3.307918	13.398
FBtr0100009	3280	3098.282	6.541623	179.000
FBtr0089901	2338	2156.282	0.707035	13.465
FBtr0089902	1803	1621.282	0.259359	3.714
FBtr0300562	2617	2435.282	3.711216	79.820
FBtr0089900	2125	1943.282	0.379750	6.517
FBtr0089904	2355	2173.282	0.645585	12.391
FBtr0301521	2467	2285.282	1.203575	24.292
FBtr0089905	2568	2386.282	1.414048	29.801
FBtr0345390	5214	5032.282	0.469341	20.859
FBtr0331425	3556	3374.282	3.772510	112.424
FBtr0332155	4408	4226.282	4.461438	166.525
FBtr0075014	3541	3359.282	1.565075	46.433
FBtr0078874	603	421.653	0.000000	0.000
FBtr0083452	2975	2793.282	12.791701	315.566
FBtr0302317	2262	2080.282	17.495388	321.434
FBtr0333248	2543	2361.282	0.000000	0.000
FBtr0114524	2411	2229.282	0.000000	0.000
FBtr0273385	6171	5989.282	0.813576	43.035
FBtr0339307	6637	6455.282	1.083389	61.766
FBtr0273384	6439	6257.282	2.591252	143.200
FBtr0082117	3807	3625.282	2.537510	81.245
FBtr0082116	6303	6121.282	1.023771	55.347
FBtr0082118	4671	4489.282	2.482474	98.426
FBtr0085011	1569	1387.282	0.081619	1.000
FBtr0081174	4145	3963.282	0.391671	13.710
FBtr0081175	3934	3752.282	0.437794	14.508
FBtr0303241	4041	3859.282	0.848677	28.926
FBtr0081176	3893	3711.282	0.557415	18.270
FBtr0305129	2997	2815.282	8.151345	202.674
FBtr0339156	2994	2812.282	2.096976	52.083
FBtr0339157	2988	2806.282	1.099193	27.243
FBtr0071784	2049	1867.282	1.042052	17.185
FBtr0071785	1989	1807.282	52.740501	841.815
FBtr0089148	3050	2868.282	1.813055	45.928
FBtr0089147	2773	2591.282	1.636804	37.459
FBtr0089150	2762	2580.282	3.514410	80.088
FBtr0089146	2709	2527.282	5.738862	128.093
FBtr0308247	2614	2432.282	14.417856	309.714
FBtr0089149	2840	2658.282	1.138013	26.717
FBtr0302559	2531	2349.282	0.024104	0.500
FBtr0346506	2597	2415.282	0.023434	0.500
FBtr0302190	3048	2866.282	3.636697	92.060
FBtr0086145	3054	2872.282	5.753070	145.940
FBtr0306281	375	193.803	0.000000	0.000
FBtr0306280	392	210.791	0.000000	0.000
FBtr0306258	4812	4630.282	3.144589	128.593
FBtr0073119	3828	3646.282	61.706088	1987.123
FBtr0073120	4106	3924.282	88.292529	3060.066
FBtr0073118	4763	4581.282	71.116566	2877.427
FBtr0337055	3442	3260.282	15.162249	436.582
FBtr0333895	3491	3309.282	81.059205	2369.096
FBtr0337056	4046	3864.282	2.669703	91.113
FBtr0077442	1411	1229.282	5.710756	62.000
FBtr0076018	1266	1084.282	2.426090	23.232
FBtr0076017	963	781.448	12.137489	83.768
FBtr0339781	3357	3175.282	0.186417	5.228
FBtr0070778	3093	2911.282	0.242825	6.243
FBtr0344824	2804	2622.282	0.368266	8.529
FBtr0345292	830	648.546	15.955974	91.392
FBtr0070983	837	655.544	10.580487	61.257
FBtr0070982	1100	918.282	1.715453	13.912
FBtr0070981	941	759.475	80.626857	540.804
FBtr0070980	854	672.521	5183.673997	30788.634
FBtr0307300	2919	2737.282	11.960172	289.137
FBtr0113024	3030	2848.282	1.007983	25.356
FBtr0332600	2913	2731.282	0.518488	12.507
FBtr0083414	2815	2633.282	19.037567	442.747
FBtr0337043	3789	3607.282	0.698500	22.253
FBtr0077516	1338	1156.282	0.000000	0.000
FBtr0112524	1274	1092.282	1.824707	17.603
FBtr0089233	3691	3509.282	3.276762	101.557
FBtr0334626	3376	3194.282	1.362757	38.445
FBtr0310651	3526	3344.282	6.421711	189.671
FBtr0089229	3501	3319.282	12.496223	366.327
FBtr0082920	981	799.424	0.000000	0.000
FBtr0077386	1734	1552.282	22.127688	303.356
FBtr0071106	2301	2119.282	0.000000	0.000
FBtr0070937	2201	2019.282	131.776289	2350.070
FBtr0070938	2487	2305.282	57.168423	1163.930
FBtr0070397	1267	1085.282	0.938974	9.000
FBtr0074346	819	637.549	0.000000	0.000
FBtr0071471	1606	1424.282	0.039751	0.500
FBtr0330316	1609	1427.282	0.039663	0.500
FBtr0074918	1253	1071.282	20.375372	192.777
FBtr0072124	2163	1981.282	21.895623	383.134
FBtr0071683	1189	1007.282	78.574127	699.000
FBtr0077403	1061	879.282	0.029253	0.227
FBtr0113021	1089	907.282	0.025371	0.203
FBtr0077402	1231	1049.282	0.312137	2.893
FBtr0077401	1011	829.282	0.228969	1.677
FBtr0300280	1584	1402.282	0.161491	2.000
FBtr0346378	3461	3279.282	0.627843	18.183
FBtr0074809	2896	2714.282	34.022026	815.571
FBtr0335137	3353	3171.282	0.829966	23.246
FBtr0346141	373	191.804	0.001222	0.002
FBtr0085611	272	90.865	23.673653	18.998
FBtr0074029	585	403.655	0.000000	0.000
FBtr0075388	1505	1323.282	0.070678	0.826
FBtr0343534	2295	2113.282	0.116481	2.174
FBtr0086001	1762	1580.282	0.501553	7.000
FBtr0321315	1239	1057.282	0.000000	0.000
FBtr0333037	2846	2664.282	0.973835	22.915
FBtr0075724	2737	2555.282	1.831682	41.337
FBtr0075723	2084	1902.282	2.484974	41.749
FBtr0342770	3744	3562.282	11.597262	364.863
FBtr0070420	3766	3584.282	63.165313	1999.528
FBtr0342771	3838	3656.282	3.704056	119.609
FBtr0333323	2883	2701.282	0.869816	20.751
FBtr0333322	2930	2748.282	0.378082	9.177
FBtr0074137	2347	2165.282	4.441364	84.933
FBtr0074135	2386	2204.282	44.799364	872.139
FBtr0308136	1697	1515.282	0.000000	0.000
FBtr0080237	698	516.602	0.000000	0.000
FBtr0300638	3446	3264.282	0.054778	1.579
FBtr0073729	466	284.714	63.735283	160.264
FBtr0084836	743	561.579	23.590012	117.000
FBtr0082430	1248	1066.282	0.521754	4.913
FBtr0335211	1142	960.282	29.959627	254.087
FBtr0076857	1307	1125.282	0.704353	7.000
FBtr0300424	902	720.488	1.100081	7.000
FBtr0083860	1793	1611.282	4.628920	65.872
FBtr0302327	1744	1562.282	149.133896	2057.701
FBtr0083861	1877	1695.282	6.440366	96.427
FBtr0083086	1479	1297.282	21.153211	242.358
FBtr0334589	2552	2370.282	1.367897	28.635
FBtr0091874	595	413.654	2.147877	7.847
FBtr0073935	992	810.417	0.000000	0.000
FBtr0073300	818	636.550	0.000000	0.000
FBtr0073299	2460	2278.282	0.000000	0.000
FBtr0088841	1522	1340.282	1.352517	16.010
FBtr0088842	1468	1286.282	62.911262	714.679
FBtr0345599	2094	1912.282	0.056720	0.958
FBtr0070422	1749	1567.282	0.075284	1.042
FBtr0342772	681	499.606	0.000000	0.000
FBtr0070421	1547	1365.282	0.082934	1.000
FBtr0333023	2495	2313.282	0.168482	3.442
FBtr0075579	1678	1496.282	0.193560	2.558
FBtr0072248	2815	2633.282	0.037439	0.871
FBtr0345620	2931	2749.282	0.063664	1.546
FBtr0072247	2800	2618.282	0.068477	1.583
FBtr0072253	1306	1124.282	0.320372	3.181
FBtr0343432	1090	908.282	35.643421	285.921
FBtr0073127	1478	1296.282	0.259848	2.975
FBtr0073128	1471	1289.282	0.265676	3.025
FBtr0079458	1541	1359.282	0.002536	0.030
FBtr0079460	1595	1413.282	1.077736	13.452
FBtr0079462	1526	1344.282	0.089604	1.064
FBtr0079461	1505	1323.282	0.091053	1.064
FBtr0079459	1585	1403.282	0.919003	11.390
FBtr0081997	1156	974.282	36.005311	309.812
FBtr0081996	1257	1075.282	1.846456	17.535
FBtr0336761	1233	1051.282	8.686725	80.653
FBtr0336637	3026	2844.282	0.044481	1.117
FBtr0300693	1964	1782.282	0.024658	0.388
FBtr0336636	3290	3108.282	0.039804	1.093
FBtr0071797	3770	3588.282	0.075789	2.402
FBtr0336638	1523	1341.282	0.000000	0.000
FBtr0087382	5033	4851.282	33.983613	1456.038
FBtr0339998	5235	5053.282	2.280175	101.763
FBtr0301478	2790	2608.282	20.207798	465.500
FBtr0089521	2653	2471.282	8.781636	191.666
FBtr0306351	2221	2039.282	2.467241	44.436
FBtr0306350	2503	2321.282	2.114724	43.354
FBtr0301477	4782	4600.282	0.493347	20.044
FBtr0300224	1562	1380.282	0.016550	0.202
FBtr0114515	1508	1326.282	0.121249	1.420
FBtr0087406	329	147.822	0.000000	0.000
FBtr0072888	2130	1948.282	0.000000	0.000
FBtr0085859	1170	988.282	0.229141	2.000
FBtr0334894	6412	6230.282	46.177913	2540.906
FBtr0084460	6624	6442.282	4.878838	277.589
FBtr0304567	3987	3805.282	7.959727	267.505
FBtr0070907	2510	2328.282	121.066939	2489.475
FBtr0070906	2636	2454.282	0.900108	19.510
FBtr0305911	1961	1779.282	12.328380	193.730
FBtr0289953	2161	1979.282	6.315137	110.392
FBtr0305910	2015	1833.282	3.451154	55.878
FBtr0088312	1656	1474.282	0.255540	3.327
FBtr0088313	2297	2115.282	0.510117	9.530
FBtr0088311	2351	2169.282	0.437266	8.377
FBtr0304592	2591	2409.282	0.646933	13.766
FBtr0088882	1935	1753.282	88.281597	1367.000
FBtr0079894	2382	2200.282	21.528520	418.349
FBtr0331635	2356	2174.282	6.054396	116.261
FBtr0345615	2623	2441.282	4.871672	105.037
FBtr0071338	3399	3217.282	140.669015	3997.000
FBtr0334508	4486	4304.282	0.099196	3.771
FBtr0085746	3506	3324.282	0.041865	1.229
FBtr0085085	1541	1359.282	90.415535	1085.423
FBtr0085084	2075	1893.282	0.752146	12.577
FBtr0079304	905	723.488	0.000159	0.001
FBtr0079732	925	743.482	0.152294	1.000
FBtr0071108	3145	2963.282	9.671154	253.103
FBtr0340139	3231	3049.282	2.488100	67.006
FBtr0071107	3426	3244.282	36.684247	1051.102
FBtr0340138	4238	4056.282	1.585224	56.789
FBtr0309839	4403	4221.282	1.311707	48.902
FBtr0309836	4378	4196.282	1.430412	53.012
FBtr0309837	3952	3770.282	2.225520	74.106
FBtr0073144	4107	3925.282	150.911408	5231.660
FBtr0309838	4006	3824.282	2.200448	74.320
FBtr0075152	2917	2735.282	23.139988	559.000
FBtr0300092	607	425.651	0.029775	0.112
FBtr0073892	1096	914.282	0.000000	0.000
FBtr0343143	1534	1352.282	0.000000	0.000
FBtr0332630	1663	1481.282	0.512513	6.705
FBtr0332631	1364	1182.282	48.657325	508.061
FBtr0332632	5997	5815.282	10.331138	530.598
FBtr0301268	1587	1405.282	0.402865	5.000
FBtr0085909	2020	1838.282	0.369566	6.000
FBtr0080763	2304	2122.282	27.422905	514.000
FBtr0086733	1297	1115.282	33.705972	332.000
FBtr0087262	852	670.528	193.011213	1143.000
FBtr0303232	702	520.601	7.829801	36.000
FBtr0344155	6716	6534.282	10.456905	603.459
FBtr0070316	6065	5883.282	24.492952	1272.645
FBtr0344279	6745	6563.282	0.086259	5.000
FBtr0076133	3030	2848.282	0.397530	10.000
FBtr0082259	2901	2719.282	45.636227	1096.000
FBtr0079708	1718	1536.282	15.256427	207.000
FBtr0330181	847	665.540	0.087295	0.513
FBtr0074894	650	468.611	122.862987	508.487
FBtr0082726	2913	2731.282	3.451493	83.257
FBtr0331429	2603	2421.282	2.440145	52.180
FBtr0331428	2948	2766.282	4.761710	116.334
FBtr0082727	2606	2424.282	2.949587	63.153
FBtr0301219	3098	2916.282	4.390315	113.076
FBtr0088166	1239	1057.282	0.000000	0.000
FBtr0310646	1830	1648.282	1.912224	27.837
FBtr0073730	1370	1188.282	191.447274	2009.163
FBtr0079724	633	451.622	11.701812	46.674
FBtr0346454	899	717.488	3.467026	21.969
FBtr0100541	611	429.647	6947.725120	26363.357
FBtr0343865	1567	1385.282	0.075553	0.924
FBtr0079324	1294	1112.282	0.109499	1.076
FBtr0079598	1156	974.282	50.670510	436.000
FBtr0081220	1093	911.282	1.812826	14.590
FBtr0300823	1159	977.282	0.677223	5.845
FBtr0081221	1054	872.282	24.872770	191.614
FBtr0310645	979	797.426	8.596120	60.540
FBtr0081219	1084	902.282	0.553551	4.411
FBtr0075314	465	283.715	67.446363	169.000
FBtr0070136	2103	1921.282	5.886206	99.879
FBtr0070137	2193	2011.282	0.989298	17.573
FBtr0070135	2124	1942.282	13.964780	239.548
FBtr0076688	2391	2209.282	21.387075	417.301
FBtr0346546	2609	2427.282	0.872285	18.699
FBtr0302935	3103	2921.282	13.694488	353.318
FBtr0082329	3115	2933.282	6.202498	160.682
FBtr0344017	5279	5097.282	0.587444	26.445
FBtr0091678	6366	6184.282	8.162415	445.815
FBtr0344016	5395	5213.282	0.407687	18.771
FBtr0342985	4422	4240.282	4.520908	169.304
FBtr0071815	4360	4178.282	16.345534	603.175
FBtr0071816	4190	4008.282	4.547680	160.988
FBtr0071813	4216	4034.282	210.902574	7514.407
FBtr0342986	4124	3942.282	9.924300	345.537
FBtr0071814	4255	4073.282	4.824313	173.551
FBtr0083049	682	500.606	66.045027	292.000
FBtr0079593	751	569.577	0.652968	3.285
FBtr0332415	1011	829.282	5.399314	39.545
FBtr0345640	3934	3752.282	5.870168	194.533
FBtr0077562	3784	3602.282	53.323815	1696.467
FBtr0085387	5031	4849.282	7.626872	326.641
FBtr0085386	4880	4698.282	15.456659	641.359
FBtr0085614	355	173.812	10.670151	16.379
FBtr0303924	5093	4911.282	0.064835	2.812
FBtr0303923	5120	4938.282	0.141877	6.188
FBtr0300811	4420	4238.282	17.792534	666.000
FBtr0340626	2866	2684.282	0.028160	0.668
FBtr0340627	2995	2813.282	0.026761	0.665
FBtr0340628	2870	2688.282	0.028114	0.667
FBtr0087784	1976	1794.282	198.262102	3141.789
FBtr0332882	2246	2064.282	0.571758	10.424
FBtr0339391	1899	1717.282	36.513869	553.791
FBtr0084095	7188	7006.282	1.098897	67.997
FBtr0343807	7002	6820.282	0.361164	21.755
FBtr0343805	4551	4369.282	5.854024	225.897
FBtr0343806	4719	4537.282	14.707249	589.351
FBtr0086801	711	529.597	1.684850	7.880
FBtr0344145	6340	6158.282	0.007770	0.423
FBtr0100454	3868	3686.282	0.037595	1.224
FBtr0082255	6557	6375.282	0.016796	0.946
FBtr0082256	4226	4044.282	0.027792	0.993
FBtr0100455	2462	2280.282	0.020609	0.415
FBtr0088783	1907	1725.282	47.449501	723.000
FBtr0301333	1977	1795.282	0.000000	0.000
