Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.663	0.000000	0.000
FBtr0300738	2350	2172.164	0.182585	2.667
FBtr0300739	2172	1994.164	0.305579	4.098
FBtr0300737	2184	2006.164	0.215758	2.911
FBtr0300736	2338	2160.164	0.245782	3.571
FBtr0078628	2467	2289.164	0.256984	3.956
FBtr0300740	2479	2301.164	0.193459	2.994
FBtr0078627	2301	2123.164	0.317290	4.530
FBtr0300741	2313	2135.164	0.227891	3.272
FBtr0072762	889	711.444	61.066004	292.176
FBtr0346821	1270	1092.164	4.215470	30.963
FBtr0331460	900	722.443	2.117532	10.288
FBtr0303848	5005	4827.164	7.686708	249.538
FBtr0086122	1465	1287.164	0.462085	4.000
FBtr0335147	3125	2947.164	2.862658	56.739
FBtr0081459	3019	2841.164	21.774021	416.044
FBtr0305321	6523	6345.164	1.221114	52.108
FBtr0083716	5665	5487.164	21.188239	781.892
FBtr0078184	1305	1127.164	0.131919	1.000
FBtr0081691	765	587.526	0.000000	0.000
FBtr0085263	1228	1050.164	0.000000	0.000
FBtr0086342	492	314.677	0.000000	0.000
FBtr0086343	495	317.674	0.000000	0.000
FBtr0091847	1023	845.164	1.962181	11.153
FBtr0072393	1393	1215.164	81.762626	668.181
FBtr0343502	867	689.455	0.592151	2.746
FBtr0343753	3569	3391.164	3.170427	72.305
FBtr0433525	3725	3547.164	0.250547	5.977
FBtr0113895	961	783.408	14.494468	76.365
FBtr0345179	887	709.444	66.364664	316.635
FBtr0334135	4703	4525.164	0.327608	9.970
FBtr0334137	4561	4383.164	0.993188	29.277
FBtr0334141	5321	5143.164	0.225481	7.799
FBtr0334139	4203	4025.164	0.523563	14.173
FBtr0334140	5704	5526.164	0.202850	7.539
FBtr0344148	4894	4716.164	0.287140	9.107
FBtr0334142	5071	4893.164	0.257810	8.484
FBtr0334138	5563	5385.164	0.201209	7.287
FBtr0334136	3862	3684.164	1.153643	28.583
FBtr0085105	995	817.378	3.274502	18.000
FBtr0346720	2745	2567.164	0.000000	0.000
FBtr0076089	442	264.719	0.000000	0.000
FBtr0087500	1417	1239.164	12.359596	103.000
FBtr0073094	1694	1516.164	12.956203	132.108
FBtr0073093	1577	1399.164	82.350944	774.892
FBtr0343515	1092	914.164	0.889347	5.468
FBtr0072451	975	797.392	11.847295	63.532
FBtr0071607	2252	2074.164	2.724184	38.000
FBtr0081516	4704	4526.164	0.197114	6.000
FBtr0300749	931	753.436	2.660695	13.482
FBtr0346532	1185	1007.164	0.179955	1.219
FBtr0073076	880	702.448	75.210145	355.299
FBtr0089289	4677	4499.164	1.164437	35.233
FBtr0100448	4590	4412.164	2.707317	80.333
FBtr0089290	4681	4503.164	1.735380	52.555
FBtr0089288	4037	3859.164	12.976598	336.789
FBtr0100447	4417	4239.164	2.116905	60.351
FBtr0329933	4663	4485.164	1.838294	55.449
FBtr0336949	2826	2648.164	21.409414	381.289
FBtr0088786	1378	1200.164	80.389172	648.847
FBtr0088785	1869	1691.164	14.323833	162.911
FBtr0303077	607	429.614	0.000000	0.000
FBtr0339716	615	437.609	0.084098	0.248
FBtr0085459	600	422.616	66.411366	188.752
FBtr0070973	1218	1040.164	0.285906	2.000
FBtr0089252	2767	2589.164	3.018087	52.553
FBtr0334488	2840	2662.164	1.505490	26.954
FBtr0334489	2902	2724.164	1.927787	35.318
FBtr0100600	3804	3626.164	2.959641	72.176
FBtr0300305	309	131.830	0.000000	0.000
FBtr0077162	567	389.630	0.000000	0.000
FBtr0072277	713	535.550	56.640417	204.000
FBtr0344898	1082	904.164	0.000000	0.000
FBtr0086817	1175	997.164	0.000000	0.000
FBtr0333271	5146	4968.164	0.535865	17.904
FBtr0072639	5149	4971.164	0.555046	18.556
FBtr0340000	824	646.491	1.521487	6.615
FBtr0087390	427	249.735	286.621572	481.385
FBtr0070472	3021	2843.164	2.959678	56.591
FBtr0331752	4499	4321.164	26.895333	781.595
FBtr0070475	3174	2996.164	6.897369	138.980
FBtr0070474	3218	3040.164	1.067613	21.828
FBtr0302185	2166	1988.164	1.428801	19.104
FBtr0070471	4805	4627.164	11.845827	368.625
FBtr0112828	2903	2725.164	7.747911	141.998
FBtr0301966	3182	3004.164	1.233438	24.920
FBtr0070468	3055	2877.164	10.082589	195.093
FBtr0070476	2745	2567.164	0.706255	12.193
FBtr0070470	3110	2932.164	1.667166	32.875
FBtr0331751	4750	4572.164	0.855812	26.315
FBtr0070469	4244	4066.164	16.776949	458.777
FBtr0070467	2929	2751.164	0.453683	8.394
FBtr0331753	5004	4826.164	1.300716	42.217
FBtr0070466	2847	2669.164	2.602907	46.724
FBtr0070473	3091	2913.164	2.066075	40.478
FBtr0076265	1575	1397.164	55.554318	521.999
FBtr0331935	1030	852.164	0.196942	1.129
FBtr0088237	816	638.492	89.164717	382.871
FBtr0081705	1363	1185.164	0.000000	0.000
FBtr0088524	1299	1121.164	74.402844	561.000
FBtr0074540	843	665.476	23.454097	104.968
FBtr0074494	1357	1179.164	0.378306	3.000
FBtr0085714	3349	3171.164	130.888475	2791.414
FBtr0085713	3440	3262.164	1157.568122	25395.480
FBtr0076256	334	156.816	1.896424	2.000
FBtr0339552	1718	1540.164	11.723328	121.429
FBtr0078950	1533	1355.164	30.566102	278.571
FBtr0070990	1321	1143.164	1.189650	9.146
FBtr0100409	805	627.501	0.748457	3.159
FBtr0343330	706	528.552	97.534012	346.695
FBtr0304902	1617	1439.164	0.171577	1.661
FBtr0304901	2286	2108.164	0.023937	0.339
FBtr0078872	1228	1050.164	0.000000	0.000
FBtr0077839	2112	1934.164	8.346810	108.572
FBtr0077837	2331	2153.164	2.779142	40.243
FBtr0077838	2235	2057.164	9.299126	128.652
FBtr0077836	2325	2147.164	16.588093	239.533
FBtr0075133	4018	3840.164	0.457943	11.827
FBtr0332862	2190	2012.164	7.180906	97.173
FBtr0087988	1754	1576.164	162.623872	1723.812
