Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.415	0.000000	0.000
FBtr0300738	2350	2178.990	0.260834	4.755
FBtr0300739	2172	2000.990	0.409241	6.851
FBtr0300737	2184	2012.990	0.358834	6.043
FBtr0300736	2338	2166.990	0.287473	5.212
FBtr0078628	2467	2295.990	0.234809	4.510
FBtr0300740	2479	2307.990	0.216253	4.176
FBtr0078627	2301	2129.990	0.307575	5.481
FBtr0300741	2313	2141.990	0.277492	4.973
FBtr0072762	889	718.211	68.413090	411.068
FBtr0346821	1270	1098.990	3.791551	34.860
FBtr0331460	900	729.211	0.292947	1.787
FBtr0303848	5005	4833.990	5.046471	204.087
FBtr0086122	1465	1293.990	0.831360	9.000
FBtr0335147	3125	2953.990	2.336956	57.754
FBtr0081459	3019	2847.990	19.324734	460.442
FBtr0305321	6523	6351.990	0.474524	25.217
FBtr0083716	5665	5493.990	14.963774	687.783
FBtr0078184	1305	1133.990	0.316220	3.000
FBtr0081691	765	594.292	0.000000	0.000
FBtr0085263	1228	1056.990	0.339256	3.000
FBtr0086342	492	321.428	0.000000	0.000
FBtr0086343	495	324.426	0.000000	0.000
FBtr0091847	1023	851.990	1.342655	9.570
FBtr0072393	1393	1221.990	76.704477	784.171
FBtr0343502	867	696.220	0.443111	2.581
FBtr0343753	3569	3397.990	3.734066	106.152
FBtr0433525	3725	3553.990	0.254304	7.561
FBtr0113895	961	790.190	22.880714	151.260
FBtr0345179	887	716.211	49.189851	294.740
FBtr0334135	4703	4531.990	0.322358	12.222
FBtr0334137	4561	4389.990	0.751681	27.607
FBtr0334141	5321	5149.990	0.211144	9.097
FBtr0334139	4203	4031.990	0.571363	19.273
FBtr0334140	5704	5532.990	0.174387	8.072
FBtr0344148	4894	4722.990	0.276949	10.943
FBtr0334142	5071	4899.990	0.245155	10.050
FBtr0334138	5563	5391.990	0.186292	8.404
FBtr0334136	3862	3690.990	1.241340	38.332
FBtr0085105	995	824.140	4.206049	29.000
FBtr0346720	2745	2573.990	0.000000	0.000
FBtr0076089	442	271.453	0.000000	0.000
FBtr0087500	1417	1245.990	8.729802	91.000
FBtr0073094	1694	1522.990	5.935562	75.628
FBtr0073093	1577	1405.990	75.439909	887.372
FBtr0343515	1092	920.990	0.240831	1.856
FBtr0072451	975	804.162	8.642540	58.144
FBtr0071607	2252	2080.990	2.929393	51.000
FBtr0081516	4704	4532.990	0.105476	4.000
FBtr0300749	931	760.210	2.529367	16.087
FBtr0346532	1185	1013.990	0.146837	1.246
FBtr0073076	880	709.215	59.943751	355.668
FBtr0089289	4677	4505.990	1.161308	43.778
FBtr0100448	4590	4418.990	1.816681	67.162
FBtr0089290	4681	4509.990	1.155874	43.612
FBtr0089288	4037	3865.990	7.593789	245.608
FBtr0100447	4417	4245.990	1.456245	51.729
FBtr0329933	4663	4491.990	1.212759	45.576
FBtr0336949	2826	2654.990	18.257219	405.527
FBtr0088786	1378	1206.990	68.619060	692.900
FBtr0088785	1869	1697.990	14.739075	209.376
FBtr0303077	607	436.372	0.000000	0.000
FBtr0339716	615	444.368	0.064173	0.239
FBtr0085459	600	429.373	69.807691	250.761
FBtr0070973	1218	1046.990	0.228331	2.000
FBtr0089252	2767	2595.990	1.083887	23.540
FBtr0334488	2840	2668.990	1.379620	30.806
FBtr0334489	2902	2730.990	1.014545	23.180
FBtr0100600	3804	3632.990	3.766354	114.474
FBtr0300305	309	138.545	0.000000	0.000
FBtr0077162	567	396.379	0.000000	0.000
FBtr0072277	713	542.313	48.489754	220.000
FBtr0344898	1082	910.990	0.000000	0.000
FBtr0086817	1175	1003.990	0.000000	0.000
FBtr0333271	5146	4974.990	0.368654	15.344
FBtr0072639	5149	4977.990	0.372415	15.510
FBtr0340000	824	653.259	0.622073	3.400
FBtr0087390	427	256.465	282.717463	606.600
FBtr0070472	3021	2849.990	2.201210	52.484
FBtr0331752	4499	4327.990	16.188241	586.150
FBtr0070475	3174	3002.990	6.085475	152.887
FBtr0070474	3218	3046.990	1.173234	29.907
FBtr0302185	2166	1994.990	0.398197	6.646
FBtr0070471	4805	4633.990	8.355964	323.947
FBtr0112828	2903	2731.990	5.692947	130.118
FBtr0301966	3182	3010.990	0.695545	17.521
FBtr0070468	3055	2883.990	9.325540	225.004
FBtr0070476	2745	2573.990	0.566513	12.199
FBtr0070470	3110	2938.990	1.281954	31.520
FBtr0331751	4750	4578.990	0.898512	34.420
FBtr0070469	4244	4072.990	9.149359	311.764
FBtr0070467	2929	2757.990	0.458117	10.570
FBtr0331753	5004	4832.990	0.534770	21.622
FBtr0070466	2847	2675.990	4.014505	89.875
FBtr0070473	3091	2919.990	1.449737	35.415
FBtr0076265	1575	1403.990	49.038280	575.999
FBtr0331935	1030	858.990	0.161412	1.160
FBtr0088237	816	645.265	92.591370	499.840
FBtr0081705	1363	1191.990	0.000000	0.000
FBtr0088524	1299	1127.990	69.090754	652.000
FBtr0074540	843	672.243	19.381058	109.000
FBtr0074494	1357	1185.990	0.302355	3.000
FBtr0085714	3349	3177.990	129.735647	3449.327
FBtr0085713	3440	3268.990	1016.198586	27791.673
FBtr0076256	334	163.534	2.923672	4.000
FBtr0339552	1718	1546.990	11.307349	146.343
FBtr0078950	1533	1361.990	23.226710	264.657
FBtr0070990	1321	1149.990	0.751797	7.233
FBtr0100409	805	634.274	0.725044	3.847
FBtr0343330	706	535.319	105.606172	472.960
FBtr0304902	1617	1445.990	0.041607	0.503
FBtr0304901	2286	2114.990	0.028069	0.497
FBtr0078872	1228	1056.990	0.113085	1.000
FBtr0077839	2112	1940.990	4.011681	65.144
FBtr0077837	2331	2159.990	6.297742	113.804
FBtr0077838	2235	2063.990	6.450624	111.386
FBtr0077836	2325	2153.990	15.685805	282.666
FBtr0075133	4018	3846.990	0.685612	22.066
FBtr0332862	2190	2018.990	4.317912	72.934
FBtr0087988	1754	1582.990	126.108566	1670.111
FBtr0087987	1948	1776.990	383.126463	5695.733
FBtr0074688	1633	1461.990	48.319300	591.000
FBtr0086864	3503	3331.990	11.084913	309.000
FBtr0083361	1283	1111.990	0.000000	0.000
FBtr0392904	4164	3992.990	4.666837	155.899
FBtr0084588	2385	2213.990	42.114586	780.065
FBtr0303161	2639	2467.990	39.392553	813.355
FBtr0079257	1918	1746.990	17.994628	263.000
FBtr0307341	906	735.211	0.052185	0.321
FBtr0084989	527	356.396	0.059520	0.177
FBtr0306309	750	579.297	0.808872	3.920
FBtr0344570	539	368.387	0.025907	0.080
FBtr0078090	1219	1047.990	30.795285	270.000
FBtr0087439	546	375.385	21.970976	69.000
FBtr0070960	2096	1924.990	0.112214	1.807
FBtr0302357	2296	2124.990	0.213090	3.788
FBtr0302356	2428	2256.990	0.180565	3.409
FBtr0340571	3830	3658.990	0.032664	1.000
FBtr0340572	3825	3653.990	0.032716	1.000
FBtr0080267	3305	3133.990	0.000000	0.000
FBtr0077141	787	616.280	0.100980	0.521
FBtr0306593	981	810.157	0.070725	0.479
FBtr0081719	1938	1766.990	63.519787	939.000
FBtr0071549	1655	1483.990	33.587883	417.000
FBtr0308832	1068	896.990	12.238159	91.839
FBtr0308833	2043	1871.990	25.769286	403.579
FBtr0074921	2263	2091.990	3.918597	68.582
FBtr0073011	1996	1824.990	0.000000	0.000
FBtr0112378	450	279.449	0.000000	0.000
FBtr0342602	1596	1424.990	0.216241	2.578
FBtr0080326	1217	1045.990	82.362452	720.741
FBtr0085405	675	504.327	183.682151	775.000
FBtr0339295	331	160.537	0.000000	0.000
FBtr0300316	205	35.292	0.000000	0.000
FBtr0300904	2130	1958.990	0.000000	0.000
FBtr0081633	2196	2024.990	0.000000	0.000
FBtr0300905	2052	1880.990	0.000000	0.000
FBtr0335279	1234	1062.990	0.081409	0.724
FBtr0335281	1199	1027.990	0.085536	0.736
FBtr0290216	733	562.305	0.000000	0.000
FBtr0335280	740	569.301	0.000000	0.000
FBtr0077120	1711	1539.990	16.468075	212.170
FBtr0081676	887	716.211	0.000000	0.000
FBtr0076639	2093	1921.990	0.168125	2.703
FBtr0079280	1148	976.990	0.000000	0.000
FBtr0304827	5797	5625.990	0.082294	3.873
FBtr0433494	6405	6233.990	0.105082	5.480
FBtr0333832	6581	6409.990	0.092309	4.950
FBtr0433497	5654	5482.990	0.094185	4.320
FBtr0333833	6118	5946.990	0.075192	3.741
FBtr0433496	5848	5676.990	0.064907	3.083
FBtr0304826	8410	8238.990	0.082006	5.653
FBtr0433495	8302	8130.990	0.083838	5.703
FBtr0433493	8251	8079.990	0.098591	6.665
FBtr0300808	2019	1847.990	0.000000	0.000
FBtr0300809	4061	3889.990	0.015364	0.500
FBtr0301700	4064	3892.990	0.015352	0.500
FBtr0072287	5108	4936.990	26.365930	1089.000
FBtr0343633	2816	2644.990	8.912110	197.209
FBtr0074281	2640	2468.990	55.392988	1144.186
FBtr0343632	2730	2558.990	1.308703	28.018
FBtr0074279	3898	3726.990	41.250597	1286.207
FBtr0074280	3895	3723.990	2.579782	80.374
FBtr0072238	1035	863.990	0.000000	0.000
FBtr0308073	1317	1145.990	0.829716	7.955
FBtr0082360	764	593.293	78.824760	391.250
FBtr0082361	1024	852.990	1.933129	13.795
FBtr0079938	1428	1256.990	2.852772	30.000
FBtr0077227	1279	1107.990	159.874306	1481.962
FBtr0091702	1278	1106.990	5.403038	50.038
FBtr0074882	2425	2253.990	13.209919	249.101
FBtr0332153	3588	3416.990	2.019137	57.721
FBtr0310476	2042	1870.990	5.818505	91.076
FBtr0100666	2416	2244.990	7.994258	150.146
FBtr0332726	2033	1861.990	3.977255	61.956
FBtr0080287	1089	917.990	15.767607	121.095
FBtr0309307	5887	5715.990	0.053994	2.582
FBtr0300898	5037	4865.990	0.010296	0.419
FBtr0080024	1050	878.990	6.823795	50.180
FBtr0077389	2263	2091.990	84.334305	1476.000
FBtr0290204	1958	1786.990	0.000000	0.000
FBtr0086689	848	677.238	31.923580	180.874
FBtr0306636	1574	1402.990	7.689330	90.254
FBtr0086687	1472	1300.990	21.235932	231.136
FBtr0086690	2195	2023.990	0.612108	10.365
FBtr0086686	1532	1360.990	0.904223	10.296
FBtr0340359	2225	2053.990	1.098480	18.876
FBtr0301148	981	810.157	72.949816	494.443
FBtr0086684	908	737.211	0.251161	1.549
FBtr0306637	2237	2065.990	1.022193	17.668
FBtr0301149	1514	1342.990	1.472128	16.540
FBtr0086600	1106	934.990	6.526562	51.052
FBtr0331978	1118	946.990	15.139962	119.948
FBtr0078769	621	450.362	4403.401578	16591.000
FBtr0070712	1878	1706.990	0.840287	12.000
FBtr0343263	1108	936.990	0.086100	0.675
FBtr0343264	928	757.210	0.124323	0.788
FBtr0072024	920	749.211	0.127156	0.797
FBtr0113111	979	808.159	0.109520	0.740
FBtr0333452	4664	4492.990	0.100816	3.790
FBtr0333450	3996	3824.990	0.075636	2.420
FBtr0333451	4043	3871.990	0.074197	2.403
FBtr0300831	4092	3920.990	0.072756	2.387
FBtr0076303	1640	1468.990	0.910339	11.188
FBtr0076302	1655	1483.990	1.894330	23.518
FBtr0076301	2049	1877.990	46.863569	736.294
FBtr0077098	1123	951.990	80.963770	644.830
FBtr0070552	1047	875.990	0.000000	0.000
FBtr0075818	1346	1174.990	28.789216	283.000
FBtr0088789	1908	1736.990	5.436349	79.000
FBtr0304960	503	332.418	0.000000	0.000
FBtr0075249	843	672.243	0.000000	0.000
FBtr0084104	1804	1632.990	206.415888	2820.000
FBtr0336911	2177	2005.990	12.510892	209.961
FBtr0088974	1597	1425.990	15.542556	185.422
FBtr0100360	4963	4791.990	0.523021	20.968
FBtr0110880	2920	2748.990	0.150455	3.460
FBtr0334105	2225	2053.990	0.284983	4.897
FBtr0301185	2946	2774.990	0.147236	3.418
FBtr0110881	4262	4090.990	1.848221	63.256
FBtr0336928	1138	966.990	0.392244	3.173
FBtr0072107	995	824.140	0.119913	0.827
FBtr0085786	2956	2784.990	10.227200	238.288
FBtr0085785	3082	2910.990	0.939470	22.879
FBtr0334549	2894	2722.990	1.031103	23.489
FBtr0334550	3020	2848.990	0.478836	11.413
FBtr0340191	4545	4373.990	9.174823	335.736
FBtr0073848	4477	4305.990	50.830134	1831.120
FBtr0078387	3371	3199.990	7.267035	194.549
FBtr0087487	2027	1855.990	15.456570	240.000
FBtr0083735	2688	2516.990	0.046835	0.986
FBtr0332539	2448	2276.990	0.053218	1.014
FBtr0077790	977	806.160	0.000000	0.000
FBtr0331440	941	770.208	0.000000	0.000
FBtr0331439	971	800.167	0.000000	0.000
FBtr0082634	1746	1574.990	15.102638	199.000
FBtr0079612	1320	1148.990	6.051871	58.174
FBtr0087980	1799	1627.990	0.000057	0.001
FBtr0087979	1558	1386.990	0.000000	0.000
FBtr0072044	1063	891.990	0.000000	0.000
FBtr0343206	1072	900.990	0.000000	0.000
FBtr0072043	1160	988.990	0.000000	0.000
FBtr0075225	1132	960.990	0.000000	0.000
FBtr0112489	446	275.451	11.348792	26.153
FBtr0339263	740	569.301	0.844014	4.020
FBtr0301018	2276	2104.990	1.192468	21.000
FBtr0302526	640	469.340	4.074830	16.000
FBtr0100009	3280	3108.990	5.344080	139.000
FBtr0089901	2338	2166.990	1.087522	19.716
FBtr0089902	1803	1631.990	0.528144	7.211
FBtr0300562	2617	2445.990	2.886678	59.071
FBtr0089900	2125	1953.990	0.418600	6.843
FBtr0089904	2355	2183.990	0.541038	9.886
FBtr0301521	2467	2295.990	0.812888	15.614
FBtr0089905	2568	2396.990	1.479004	29.659
FBtr0345390	5214	5042.990	0.717057	30.253
FBtr0331425	3556	3384.990	1.090591	30.885
FBtr0332155	4408	4236.990	1.449347	51.375
FBtr0075014	3541	3369.990	0.904022	25.488
FBtr0078874	603	432.373	0.276452	1.000
FBtr0083452	2975	2803.990	10.547778	247.434
FBtr0302317	2262	2090.990	21.068831	368.566
FBtr0333248	2543	2371.990	0.098382	1.952
FBtr0114524	2411	2239.990	0.109268	2.048
FBtr0273385	6171	5999.990	1.776842	89.191
FBtr0339307	6637	6465.990	1.217197	65.844
FBtr0273384	6439	6267.990	2.802603	146.964
FBtr0082117	3807	3635.990	4.018227	122.231
FBtr0082116	6303	6131.990	2.042275	104.770
FBtr0082118	4671	4499.990	2.813873	105.935
FBtr0085011	1569	1397.990	0.085501	1.000
FBtr0081174	4145	3973.990	0.269692	8.966
FBtr0081175	3934	3762.990	0.323459	10.183
FBtr0303241	4041	3869.990	0.666461	21.578
FBtr0081176	3893	3721.990	0.338078	10.527
FBtr0305129	2997	2825.990	6.479786	153.198
FBtr0339156	2994	2822.990	1.958390	46.252
FBtr0339157	2988	2816.990	2.017623	47.550
FBtr0071784	2049	1877.990	1.421331	22.331
FBtr0071785	1989	1817.990	61.321605	932.669
FBtr0089148	3050	2878.990	1.231993	29.674
FBtr0089147	2773	2601.990	3.217670	70.044
FBtr0089150	2762	2590.990	3.157627	68.446
FBtr0089146	2709	2537.990	3.639564	77.279
FBtr0308247	2614	2442.990	20.188111	412.610
FBtr0089149	2840	2668.990	1.117257	24.947
FBtr0302559	2531	2359.990	0.000000	0.000
FBtr0346506	2597	2425.990	0.000000	0.000
FBtr0302190	3048	2876.990	3.289869	79.184
FBtr0086145	3054	2882.990	5.755363	138.816
FBtr0306281	375	204.518	0.000000	0.000
