Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.973	0	0
FBtr0300738	2350	2172.81	0	0
FBtr0300739	2172	1994.81	0.532698	7.13563
FBtr0300737	2184	2006.81	0	0
FBtr0300736	2338	2160.81	0.208943	3.03176
FBtr0078628	2467	2289.81	0.330986	5.08931
FBtr0300740	2479	2301.81	0	0
FBtr0078627	2301	2123.81	0.823426	11.7433
FBtr0300741	2313	2135.81	0	0
FBtr0072762	889	711.812	61.6472	294.665
FBtr0346821	1270	1092.81	4.06688	29.8439
FBtr0331460	900	722.812	1.83282	8.89602
FBtr0303848	5005	4827.81	5.02291	162.838
FBtr0086122	1465	1287.81	0.462549	4
FBtr0335147	3125	2947.81	0	0
FBtr0081459	3019	2841.81	24.7226	471.78
FBtr0305321	6523	6345.81	0.758491	32.3212
FBtr0083716	5665	5487.81	21.6732	798.679
FBtr0078184	1305	1127.81	0.132042	1
FBtr0081691	765	587.812	0	0
FBtr0085263	1228	1050.81	0	0
FBtr0086342	492	314.973	0	0
FBtr0086343	495	317.973	0	0
FBtr0091847	1023	845.812	1.03974	5.90538
FBtr0072393	1393	1215.81	81.9339	668.928
FBtr0343502	867	689.812	0	0
FBtr0343753	3569	3391.81	3.38109	77.0084
FBtr0433525	3725	3547.81	0	0
FBtr0113895	961	783.812	14.0869	74.1444
FBtr0345179	887	709.812	66.8961	318.856
FBtr0334135	4703	4525.81	0	0
FBtr0334137	4561	4383.81	0.756628	22.2733
FBtr0334141	5321	5143.81	0	0
FBtr0334139	4203	4025.81	0	0
FBtr0334140	5704	5526.81	0	0
FBtr0344148	4894	4716.81	0	0
FBtr0334142	5071	4893.81	0	0
FBtr0334138	5563	5385.81	0	0
FBtr0334136	3862	3684.81	3.97756	98.4196
FBtr0085105	995	817.812	3.2777	18
FBtr0346720	2745	2567.81	0	0
FBtr0076089	442	265.032	0	0
FBtr0087500	1417	1239.81	12.3718	103
FBtr0073094	1694	1516.81	12.4437	126.745
FBtr0073093	1577	1399.81	82.6883	777.255
FBtr0343515	1092	914.812	0.690841	4.24385
FBtr0072451	975	797.812	12.0873	64.7562
FBtr0071607	2252	2074.81	2.72744	38
FBtr0081516	4704	4526.81	0.197383	6
FBtr0300749	931	753.812	5.42795	27.4757
FBtr0346532	1185	1007.81	0	0
FBtr0073076	880	702.812	72.5776	342.524
FBtr0089289	4677	4499.81	0.408955	12.3572
